Document Title,Authors,Publication Title,Publication Year,Abstract,DOI,PDF Link
The Role of Generative AI in Higher Education: A Decade of Current Status and Future Prospects,"Niu, Hailong and Gong, Xinlu",Proceedings of the 2024 5th International Conference on Computer Science and Management Technology,2025,"With the rapid development of Generative AI technology, particularly large language models like ChatGPT. Generative AI has brought profound transformations to teaching methods, learning experiences, and assessment models, but it also presents challenges related to academic integrity and educational equity. The purpose of this study is to analyze the current state of Generative AI applications in higher education over the past decade and its future development trends using a comprehensive bibliometric and scientometric approach. The study selects 620 papers from the Web of Science database, published between 2014 and 2024, related to Generative AI and higher education, and employs VOSviewer and CiteSpace software for data analysis and visualization. The results show a significant increase in research on the application of Generative AI in higher education since 2018, with a particular focus on personalized learning, teaching assessment, and interdisciplinary education, which have garnered widespread attention. Through network analyses of collaboration among authors, institutions. This study not only provides researchers with insights into the current status and development trends of Generative AI in higher education but also lays the foundation for deeper discussions on issues such as educational equity and academic integrity.",10.1145/3708036.3708178,https://doi.org/10.1145/3708036.3708178
Sketchar: Supporting Character Design and Illustration Prototyping Using Generative AI,"Ling, Long and Chen, Xinyi and Wen, Ruoyu and Li, Toby Jia-Jun and LC, RAY",Proc. ACM Hum.-Comput. Interact.,2024,"Character design in games involves interdisciplinary collaborations, typically between designers who create the narrative content, and illustrators who realize the design vision. However, traditional workflows face challenges in communication due to the differing backgrounds of illustrators and designers, the latter with limited artistic abilities. To overcome these challenges, we created Sketchar, a Generative AI (GenAI) tool that allows designers to prototype game characters and generate images based on conceptual input, providing visual outcomes that can give immediate feedback and enhance communication with illustrators' next step in the design cycle. We conducted a mixed-method study to evaluate the interaction between game designers and Sketchar. We showed that the reference images generated in co-creating with Sketchar fostered refinement of design details and can be incorporated into real-world workflows. Moreover, designers without artistic backgrounds found the Sketchar workflow to be more expressive and worthwhile. This research demonstrates the potential of GenAI in enhancing interdisciplinary collaboration in the game industry, enabling designers to interact beyond their own limited expertise.",10.1145/3677102,https://doi.org/10.1145/3677102
Innovation and Entrepreneurship Education Project Based on Big Data and Cloud Computing: A Case Study of Intelligent Consulting in Speech Recognition,"Liu, Shenghui and Ping, Lin and Chen, Yingxi and Wang, Xue and Zhang, Lintao",Proceedings of the 2025 International Conference on Big Data and Informatization Education,2025,"Currently, innovation and entrepreneurship education is a vital component of information education. By leveraging big data and cloud computing services, rapid project development can significantly shorten the cycle of innovation and entrepreneurship education projects, thereby enhancing their efficiency. This paper presents a low-cost intelligent consultation application based on automatic speech recognition technology as a case study. It illustrates how to effectively utilize big data and cloud computing services to quickly develop internship projects. Through this example, students can learn to create applications based on big data and cloud computing without the delays associated with complex theoretical learning. This case can be easily adapted to develop various similar applications by switching between different big data and cloud computing platforms, making it well-suited for promotion in innovation and entrepreneurship education.",10.1145/3729605.3729607,https://doi.org/10.1145/3729605.3729607
Integrating ChatGPT in Project Management Education: Benefits and Challenges in the Academic Environment,,Proceedings of the XXIII Brazilian Symposium on Software Quality,2024,"CONTEXT: Teaching project management is complex, and students often do not feel engaged or motivated. Professors can use many initiatives to improve the teaching and learning process. Tools like ChatGPT, when integrated into education, have generated considerable interest due to their potential to enrich students’ learning experiences. GOAL: This paper analyzes the impacts of using ChatGPT as a complementary tool in teaching Project Management in the Software Engineering course, highlighting its benefits and challenges. METHOD: We performed an exploratory study to identify the effects of using ChatGPT in teaching project management, evaluating learning, productivity, teamwork, student perceptions, and future expectations. RESULTS: The results indicate that ChatGPT contributed to improving content comprehension, developing critical skills, accelerating production, improving collaboration and communication, and increasing student engagement. However, challenges related to misuse and dependence on the tool were also identified. CONCLUSION: The integration of ChatGPT in teaching project management has shown promise, promoting a richer and more collaborative learning experience. The insights obtained provide directions for future implementations and research on the use of AI in project management education.",10.1145/3701625.3701684,https://doi.org/10.1145/3701625.3701684
Comparative Analysis of GPT-4o and GPT-4.0 in Business Ethics Role-Play Simulations,"Xu, Xiao",Proceedings of the 2024 International Conference on Artificial Intelligence and Teacher Education,2025,"The rapid advancement of artificial intelligence (AI) technologies has opened new frontiers in educational methodologies, particularly in enhancing interactive learning environments. This paper examines the integration of two AI-driven models, ChatGPT-4.0 and its advanced iteration, GPT-4o, into the teaching of complex subjects such as climate risk management within higher education. Utilizing role-play simulations, a method proven to effectively deepen understanding and engagement, we explore how these models enhance traditional educational approaches by providing dynamic, real-time interactions that mimic real-world decision-making processes. Our comparative analysis focuses on the performance of these models in terms of response time, emotional intelligence, and quality of engagement. The findings indicate that GPT-4o, with its quicker response times and enhanced emotional recognition capabilities, significantly improves learner engagement and the effectiveness of role-play simulations. This study highlights the potential of AI to not only complement but substantially enrich pedagogical practices, offering educators valuable insights into selecting appropriate AI tools for their instructional needs. Through this exploration, we advocate for a hybrid educational model that synergistically combines the strengths of both traditional and AI-enhanced learning, proposing a future where education is more adaptive, personalized, and aligned with the evolving demands of the digital age.",10.1145/3702386.3702388,https://doi.org/10.1145/3702386.3702388
The Application and Comparison of Artificial Intelligence LLMs in Psychological Statistical Analysis,"Zhang, Jinke and Ren, Xiaopeng",Proceedings of the 2024 2nd International Conference on Internet of Things and Cloud Computing Technology,2024,"With the rapid development of LLMs (LLMs) in the field of natural language processing, there is an increasing interest in their applications within psychological research. This study focuses on three LLMs: OpenAI's GPT-4, Zhipu AI's GLM-4, and Alibaba Cloud's Qwen2.5, to examine their performance and potential value in psychological research. The analysis emphasizes five dimensions of the models' capabilities in handling text data: convenience, lexical statistical abilities, core topic extraction, sentiment analysis, and code generation support. Results indicate that GPT-4 excels in core topic extraction and programming assistance but falls short in convenience for file uploads and sentiment quantification. GLM-4 shows strong performance in sentiment analysis quantification but has limitations in text analysis, code generation, and overall balance. Qwen2.5 demonstrates robust capabilities in text understanding and sentiment classification, highlighting its practicality in processing Chinese text. The findings suggest that LLMs possess significant application potential in psychological research, providing effective support for in-depth cognitive and cultural studies while enhancing the efficiency and accuracy of psychological analysis.",10.1145/3702879.3702881,https://doi.org/10.1145/3702879.3702881
Understanding the Adoption of ChatGPT in Higher Education: A Comparative Study with Insights from STEM and Business Students,,Proceedings of Mensch Und Computer 2024,2024,"Since ChatGPT’s introduction, generative artificial intelligence (AI) has significantly influenced the media, technological innovation, and educational discourse. Its increasing importance, especially in academia, necessitates a detailed examination of the impact of AI on higher education, particularly on how it changes teaching and learning processes. This study therefore looks at the factors affecting students’ attitudes towards AI technologies in the university setting, with a particular focus on the differences between business and STEM programmes. Using a mixed methods approach, the study combines surveys and interviews to collect data on students’ perceptions, attitudes and experiences with generative AI technology in academia. The data collected is analysed both quantitatively and qualitatively to reveal significant trends and insights into the adoption and use of generative AI tools in the university environment. The main objective of the study is to shed light on the determinants that determine the varying degrees of AI adoption in different academic disciplines. The findings have the potential to inform the implementation of educational technology and assist in the development of strategies for the effective integration of generative AI tools to meet the different needs and preferences of students in a range of academic contexts.",10.1145/3670653.3677507,https://doi.org/10.1145/3670653.3677507
Study on the Role of Generative Artificial Intelligence in Advancing the Knowledge System of Traditional Chinese Medicine in Higher Education,"Li, Jingchao and Zhan, Meiwei and Li, Shanshan",Proceedings of the 2025 International Conference on Big Data and Informatization Education,2025,"The transfer and promotion of effectively inheritance and innovation of knowledge is a problem that higher education of Chinese medicine must face. This study provides a novel generative AI framework to promote the inheritance and innovative development of knowledge in traditional Chinese medical education. Utilizing multi-modal data processing (textual, visual and experiential) to construct a knowledge base, the model is based on Generative Adversarial Networks (GANs) and Transformer-based architecture. This context-aware and semantic-rich embedding is made possible using state-of-the-art technology, including attention mechanism and knowledge graph embedding. The learning structure of the model foreshadows the traditional Chinese medicine teaching model and cultivates students as good at in-depth understanding and creative application of knowledge. Furthermore, through transfer learning and domain-specific fine-tuning, the framework attains high fidelity of captured knowledge representation while also supporting the generation of new hypotheses and therapeutics. Our generative AI model improves knowledge transfer accuracy and depth, and encourage innovative thinking compared to traditional educational methodologies, as we demonstrate through experimental results.",10.1145/3729605.3729611,https://doi.org/10.1145/3729605.3729611
Integrating ChatGPT in Flipped Hospitality and Tourism Education Course Design: A Self-determination Theory Perspective,"Huang, Hui-Wen and Chang, Tsung-Shu",Proceedings of the 2024 8th International Conference on Digital Technology in Education (ICDTE),2024,"Existing literature indicates that the positive effects of flipped classrooms can enhance student engagement and learning outcomes. However, studies on the integration of AI chatbots in flipped teaching are scarce. The aim of this article is to contribute knowledge by infusing ChatGPT to demonstrate effective teaching strategies in flipped hospitality and tourism education (HTE). To enhance student motivation and engagement, I utilize self-determination theory (SDT) to serve as a theoretical framework in this innovative teaching approach. This approach includes structured teaching procedures over the learning process; real-time and personalized feedback provided by ChatGPT before class; in-class discussions between teacher-student and student-ChatGPT interactions; and after-class reflections to support student learning. Furthermore, based on SDT, ChatGPT interactions in the flipped classroom can stimulate student motivation and foster their autonomy, competence, and relatedness. Finally, HTE students will become engaging and independent learners through the scaffolded teaching structures provided by this article.",10.1145/3696230.3696237,https://doi.org/10.1145/3696230.3696237
Human-AI Collaboration in Software Engineering: Lessons Learned from a Hands-On Workshop,"Hamza, Muhammad and Siemon, Dominik and Akbar, Muhammad Azeem and Rahman, Tahsinur",Proceedings of the 7th ACM/IEEE International Workshop on Software-Intensive Business,2024,"This paper investigates the dynamics of human-AI collaboration in software engineering, focusing on the use of ChatGPT. Through a thematic analysis of a hands-on workshop in which 22 professional software engineers collaborated for three hours with ChatGPT, we explore the transition of AI from a mere tool to a collaborative partner. The study identifies key themes such as the evolving nature of human-AI interaction, the capabilities of AI in software engineering tasks, and the challenges and limitations of integrating AI in this domain. The findings show that while AI, particularly ChatGPT, improves the efficiency of code generation and optimization, human oversight remains crucial, especially in areas requiring complex problem-solving and security considerations. This research contributes to the theoretical understanding of human-AI collaboration in software engineering and provides practical insights for effectively integrating AI tools into development processes. It highlights the need for clear role allocation, effective communication, and balanced AI-human collaboration to realize the full potential of AI in software engineering.",10.1145/3643690.3648236,https://doi.org/10.1145/3643690.3648236
Transformative Approach to Fairness and Transparency in Classroom Participation Assessment,"Banawan, Michelle and Kukas, Elias John and Tano, John Richard and Tan, Adonna and Villegas, Ramil",,2024,"Building on a foundation of innovative Machine Learning and Artificial Intelligence (AI) applications, this study presents an evolved approach to assessing student class participation (CP) and providing timely feedback in Masters in Business Administration (MBA) programs. This approach has been rigorously applied and analyzed over the course of four academic terms, thereby offering a substantive examination of its effectiveness. The methodological framework of this study is predicated on the utilization of AI transcription tools, such as GRAIN, to convert Zoom session recordings into analyzable text data. This has enabled a consistent and objective evaluation of each student's contributions during class discussions across four subsequent terms. The implementation involved MBA students who shared similar professional backgrounds and demographics, ensuring a consistent context for analysis. AI-generated insights were integrated with a dynamic dashboard, presenting an innovative way to track and assess CP. These insights underwent meticulous annotation and review to guarantee adherence to the educational standards and fairness expected by the institution. The AI's role as an initial assessor was balanced by the professor's final judgement, forming a complementary relationship that enhanced the educational process. This study's findings are particularly noteworthy in the context of teaching quality and effectiveness. Over the four terms of implementation, student evaluations reflected high satisfaction with respect to fairness and respect in grading, the timeliness of feedback, and the adherence to established grading criteria. Notably, the ratings for these specific criteria consistently exceeded the term mean under the category of",10.1145/3657604.3664708,https://doi.org/10.1145/3657604.3664708
mobiCHAI - 1st International Workshop on Mobile Cognition-Altering Technologies (CAT) using Human-Centered AI,"ElAgroudy, Passant and Gruenerbl, Agnes and Barbareschi, Giulia and Spilski, Jan and Kunze, Kai and Lachmann, Thomas and Lukowicz, Paul",Adjunct Proceedings of the 26th International Conference on Mobile Human-Computer Interaction,2024,"The quest for enhanced cognition has been a driving force behind human advancement, fostering innovation and personal fulfillment. Cognition Altering Technologies (CAT) holds immense promise in elevating the quality of life across diverse domains including education, decision-making, healthcare, and fitness. The current proliferation of Artificial Intelligence (AI), particularly the widespread adoption of Generative AI and foundational models, presents an unprecedented opportunity to prototype new CAT that can augment human capabilities. This workshop aims to unite interdisciplinary research communities to explore the potential of leveraging GenAI and human-centered AI to develop relevant CAT. Taking place at MobileHCI 2024, this one-day workshop invites researchers, practitioners, and designers from fields such as artificial intelligence, ubiquitous computing, human-computer interaction, and social sciences to collaborate and chart the future of cognitive enhancement through technology.",10.1145/3640471.3680462,https://doi.org/10.1145/3640471.3680462
A Review of the Role and Impact of Generative Artificial Intelligence on Education,"Yang, Qi",Proceedings of the 2024 7th International Conference on Educational Technology Management,2025,"In order to ensure quality development in the age of intelligence, it is crucial to integrate intelligent technology with education. Artificial Intelligence (AI) and Generative Artificial Intelligence (GAI) are disruptive technologies in the area of education. While online education brings significant advantages in enhancing educational quality, promoting educational equity, and improving educational efficiency, it has also raised concerns among scholars around the world regarding students' moral ethics, cultivation of emotional values, technological dependence, thinking deprivation, privacy, and policy making. Using Cite Space software to analyze more than 50 articles from core journals in the field of educational technology at home and abroad, this paper comprehensively summarizes the role and impact of generative AI in education up to 2023, suggests the limitations of generative AI in empowering education at present, and predicts the direction scholars will tend to research in this field in the future.",10.1145/3711403.3711435,https://doi.org/10.1145/3711403.3711435
Context-Based Adaptive Multimodal Fusion Network for Continuous Frame-Level Sentiment Prediction,"Huang, Maochun and Qing, Chunmei and Tan, Junpeng and Xu, Xiangmin","IEEE/ACM Trans. Audio, Speech and Lang. Proc.",2023,"Recently, video sentiment computing has become the focus of research because of its benefits in many applications such as digital marketing, education, healthcare, and so on. The difficulty of video sentiment prediction mainly lies in the regression accuracy of long-term sequences and how to integrate different modalities. In particular, different modalities may express different emotions. In order to maintain the continuity of long time-series sentiments and mitigate the multimodal conflicts, this article proposes a novel Context-Based Adaptive Multimodal Fusion Network (CAMFNet) for consecutive frame-level sentiment prediction. A Context-based Transformer (CBT) module was specifically designed to embed clip features into continuous frame features, leveraging its capability to enhance the consistency of prediction results. Moreover, to resolve the multi-modal conflict between modalities, this article proposed an Adaptive multimodal fusion (AMF) method based on the self-attention mechanism. It can dynamically determines the degree of shared semantics across modalities, enabling the model to flexibly adapt its fusion strategy. Through adaptive fusion of multimodal features, the AMF method effectively resolves potential conflicts arising from diverse modalities, ultimately enhancing the overall performance of the model. The proposed CAMFNet for consecutive frame-level sentiment prediction can ensure the continuity of long time-series sentiments. Extensive experiments illustrate the superiority of the proposed method especially in multimodal conflicts videos.",10.1109/TASLP.2023.3321971,https://doi.org/10.1109/TASLP.2023.3321971
ChatGPT in Nutrition: Trends Challenges and Future Directions,"Tsiantis, Vasileios and Konstantinidis, Dimitrios and Dimitropoulos, Kosmas",Proceedings of the 17th International Conference on PErvasive Technologies Related to Assistive Environments,2024,"A healthy and balanced diet is of paramount importance to the physical and psychological well-being of an individual, since unhealthy dietary choices have been linked with the occurrence of non-communicable diseases. Recent technological advances has led to the development of large language models, such as ChatGPT that has been widely adopted as a convenient tool for creating meal plans and obtaining nutritional information. This work aims to provide a thorough review of the scientific work performed so far regarding the use of ChatGPT in the field of nutrition. In this survey, the advantages and limitations of ChatGPT in different aspects of nutrition are pinpointed, while the challenges from the use of ChatGPT in nutrition are identified and discussed. Future research directions are also proposed to assist researchers towards the development of more effective nutrition recommendation systems.",10.1145/3652037.3663898,https://doi.org/10.1145/3652037.3663898
Application analysis of generative artificial intelligence in basic education,"Qiu, Xiaoming and Zhang, Shu","Proceedings of the 2024 7th International Conference on E-Business, Information Management and Computer Science",2025,"This paper makes a detailed analysis of the application of Generative ARTIFICIAL intelligence in the field of basic education, and clarifies the existing problems, including the alienation of teaching process, the adaptation of teachers and students to new technologies, and the accuracy of content generation. And the empirical research is carried out on its specific application in the field of basic education, including questionnaire survey, data analysis and so on. By evaluating the changes in learning interest, learning performance and learning interaction between the control group and the experimental group, the potential and problems of generative AI application in the field of basic education are clarified. On this basis, this research draws the conclusion that the application of generative AI in the field of basic education also requires teachers to strengthen the emotional input, strengthen the technical training for teachers and students, and improve the accuracy of high content of education, so as to better cope with the challenges brought by technological change.",10.1145/3723420.3723428,https://doi.org/10.1145/3723420.3723428
CareerSim: Gamification Design Leveraging LLMs For Career Development Reflection,"Du, Wantong and Zhu, Zhiying and Xu, Xinhui and Che, Haoyuan and Chen, Shi",Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,2024,"Graduates often struggle with challenges in their careers stemming from a lack of self-construction and decisive decision-making. The HCI community increasingly focuses on gamification as a means to foster reflection, with the emerging developments in LLM providing new opportunities for personalized gamified experiences. However, existing solutions fall short in terms of personalization and real-world data references. In response, our research introduces CareerSim, a role-playing game that leverages LLM’s generation and reasoning capabilities. By integrating these with real-world based databases and game mechanics, we delve into gamification’s role in reflective self-construction and decision-making. We aim to inspire designers to effectively incorporate LLMs in gamification design.",10.1145/3613905.3650928,https://doi.org/10.1145/3613905.3650928
Beyond Binary: Towards Fine-Grained LLM-Generated Text Detection via Role Recognition and Involvement Measurement,"Cheng, Zihao and Zhou, Li and Jiang, Feng and Wang, Benyou and Li, Haizhou",Proceedings of the ACM on Web Conference 2025,2025,"The rapid development of large language models (LLMs), like ChatGPT, has resulted in the widespread presence of LLM-generated content on social media platforms, raising concerns about misinformation, data biases, and privacy violations, which can undermine trust in online discourse. While detecting LLM-generated content is crucial for mitigating these risks, current methods often focus on binary classification, failing to address the complexities of real-world scenarios like human-LLM collaboration. To move beyond binary classification and address these challenges, we propose a new paradigm for detecting LLM-generated content. This approach introduces two novel tasks: LLM Role Recognition (LLM-RR), a multi-class classification task that identifies specific roles of an LLM in content generation, and LLM Involvement Measurement (LLM-IM), a regression task that quantifies the extent of LLM involvement in content creation. To support these tasks, we propose LLMDetect, a benchmark designed to evaluate detectors' performance on these new tasks. LLMDetect includes the Hybrid News Detection Corpus (HNDC) for training detectors, as well as DetectEval, a comprehensive evaluation suite that considers five distinct cross-context variations and two multi-intensity variations within the same LLM role. This allows for a thorough assessment of detectors' generalization and robustness across diverse contexts. Our empirical validation of 10 baseline detection methods demonstrates that fine-tuned Pre-trained Language Model (PLM)-based models consistently outperform others on both tasks, while advanced LLMs face challenges in accurately detecting their own generated content. Our experimental results and analysis offer insights for developing more effective detection models for LLM-generated content. This research enhances the understanding of LLM-generated content and establishes a foundation for more nuanced detection methodologies.",10.1145/3696410.3714770,https://doi.org/10.1145/3696410.3714770
