Item Title,Publication Title,Item DOI,Authors,Publication Year,URL
"AI-Powered Tools: Threat, Defense, and Cyber-Resilience for Individuals",Digital Technology Platforms and Deployment,10.1007/978-3-031-86547-3_14,Tatiana AntipovaSimona RiureanPatricia RiureanGeorge Bolog,2025,https://link.springer.com/chapter/10.1007/978-3-031-86547-3_14
Intelligent Cyber Defense: Leveraging LLMs for&#xa0;Real-Time Threat Detection and&#xa0;Analysis,Information Systems,10.1007/978-3-031-81322-1_5,Elena KakoulliEleftherios ZacharioudakisSalomi Evripidou,2025,https://link.springer.com/chapter/10.1007/978-3-031-81322-1_5
Prompt Engineering in Large Language Models,Data Intelligence and Cognitive Informatics,10.1007/978-981-99-7962-2_30,Ggaliwango MarvinNakayiza HellenDaudi JjingoJoyce Nakatumba-Nabende,2024,https://link.springer.com/chapter/10.1007/978-981-99-7962-2_30
Embracing AI in&#xa0;Cyber Security Education: A Postgraduate Case Study,Advances in Teaching and Learning for Cyber Security Education,10.1007/978-3-031-77524-6_7,Eckhard PfluegelM. Rehan UsmanDavid PickardVesna Brujic-Okretic,2024,https://link.springer.com/chapter/10.1007/978-3-031-77524-6_7
Principles for&#xa0;Inclusive Assessment Design in&#xa0;Cybersecurity Education,Advances in Teaching and Learning for Cyber Security Education,10.1007/978-3-031-77524-6_11,Rosanne EnglishJoseph MaguireAdriana Wilde,2024,https://link.springer.com/chapter/10.1007/978-3-031-77524-6_11
PARAG: Proactive Answering Framework Integrating LLMs with&#xa0;Retrieval-Augmented Generation,Cybersecurity,10.1007/978-3-031-94855-8_2,Bikash SahaNanda RaniJoheen ChakrabortyDivyanshu SinghSoumyo V. ChakrabortySandeep Kumar Shukla,2025,https://link.springer.com/chapter/10.1007/978-3-031-94855-8_2
Strengthening Cyber Security Education: Designing Robust Assessments for&#xa0;ChatGPT-Generated Answers,Machine Learning for Cyber Security,10.1007/978-981-97-2458-1_2,Andrew PlappJianzhang WuLei PanChao ChenCaslon ChuaJun Zhang,2024,https://link.springer.com/chapter/10.1007/978-981-97-2458-1_2
GPT-Enabled Cybersecurity Training: A Tailored Approach for Effective Awareness,Information Security Education - Challenges in the Digital Age,10.1007/978-3-031-62918-1_1,Nabil Al-DhamariNathan Clarke,2024,https://link.springer.com/chapter/10.1007/978-3-031-62918-1_1
Bytes and Battles in AI Era. Safeguarding Consumers?€? Digital World,Digital Technology Platforms and Deployment,10.1007/978-3-031-86547-3_16,Tatiana AntipovaSimona Riurean,2025,https://link.springer.com/chapter/10.1007/978-3-031-86547-3_16
Evolving Cybersecurity Challenges in the Age of AI-Powered Chatbots: A Comprehensive Review,Technological Innovation for Human-Centric Systems,10.1007/978-3-031-63851-0_15,Andr?? F. CostaNuno Mateus Coelho,2024,https://link.springer.com/chapter/10.1007/978-3-031-63851-0_15
"Chatgpt for cybersecurity: practical applications, challenges, and future directions",Cluster Computing,10.1007/s10586-023-04124-5,Muna Al-HawawrehAhamed AljuhaniYaser Jararweh,2023,https://link.springer.com/article/10.1007/s10586-023-04124-5
Distinguishing Chatbot from&#xa0;Human,"Machine Learning, Deep Learning and AI for Cybersecurity",10.1007/978-3-031-83157-7_19,Gauri Anil GodghaseRishit AgrawalTanush ObiliMark Stamp,2025,https://link.springer.com/chapter/10.1007/978-3-031-83157-7_19
The Benefits and Risks of Artificial General Intelligence (AGI),Artificial General Intelligence (AGI) Security,10.1007/978-981-97-3222-7_2,Muhammad FahadTayyaba BasriMuhammad Ameer HamzaSheikh FaisalAbdullah AkbarUsman HaiderSalma El Hajjami,2025,https://link.springer.com/chapter/10.1007/978-981-97-3222-7_2
Enhancing Cyber Resilience Through AI-Driven Phishing Tests and Gamified Learning,"Intersection of Artificial Intelligence, Data Science, and Cutting-Edge Technologies: From Concepts to Applications in Smart Environment",10.1007/978-3-031-88304-0_20,Sarafudheen M. TharayilFuad Sha?€?lanSaleh AlotaibiMurad AlmarhounAbdulrahman HajjarMohammed Aadil,2025,https://link.springer.com/chapter/10.1007/978-3-031-88304-0_20
Integrating AI and&#xa0;RDF Knowledge Graphs with&#xa0;MITRE ATT&amp;CK for&#xa0;CTI Insights,Artificial Intelligence Applications and Innovations,10.1007/978-3-031-96231-8_28,Apostolos MavridisStergios TegosChristos AnastasiouMaria PapoutsoglouGeorgios Meditskos,2025,https://link.springer.com/chapter/10.1007/978-3-031-96231-8_28
An Exploratory Study on the Dark Sides of Artificial Intelligence Adoption: Ethical Concerns of ChatGPT,Opportunities and Risks in AI for Business Development,10.1007/978-3-031-65207-3_25,Poh Hwa EngShre Kishan ManoharRan Long Liu,2025,https://link.springer.com/chapter/10.1007/978-3-031-65207-3_25
AI-Generated Realistic Threat Scenarios,Fortifying the Future,10.1007/978-3-031-81780-9_4,Shaila RanaRhonda Chicone,2025,https://link.springer.com/chapter/10.1007/978-3-031-81780-9_4
Are the robots taking over? On AI and perceived existential risk,AI and Ethics,10.1007/s43681-024-00600-9,Airlie HilliardEmre KazimStephan Ledain,2024,https://link.springer.com/article/10.1007/s43681-024-00600-9
Gamification and Immersive Learning with AI,Fortifying the Future,10.1007/978-3-031-81780-9_3,Shaila RanaRhonda Chicone,2025,https://link.springer.com/chapter/10.1007/978-3-031-81780-9_3
Introduction to AI in Cybersecurity Training,Fortifying the Future,10.1007/978-3-031-81780-9_1,Shaila RanaRhonda Chicone,2025,https://link.springer.com/chapter/10.1007/978-3-031-81780-9_1
Design of&#xa0;a&#xa0;Bachelor?€?s Degree in&#xa0;Cybersecurity and&#xa0;Artificial Intelligence,New Frontiers in Artificial Intelligence,10.1007/978-981-96-7071-0_22,Rodrigo Roman,2025,https://link.springer.com/chapter/10.1007/978-981-96-7071-0_22
Digital Evidence: A Legal Practitioner?€?s Perspective,"Proceedings of the International Conference on Cybersecurity, Situational Awareness and Social Media",10.1007/978-981-96-0401-2_17,Ibeabuchi EgbuJacques OphoffAnnelize McKay,2025,https://link.springer.com/chapter/10.1007/978-981-96-0401-2_17
Identifying the Root Cause of a Cyber Attack Through Log Data Analysis: An Overview of the Challenges Faced by&#xa0;Novice Learners,Computing Education Research,10.1007/978-3-031-84391-4_12,Priya V. NagvekarSyaamantak DasSridhar Iyer,2025,https://link.springer.com/chapter/10.1007/978-3-031-84391-4_12
"Editorial for EAIT issue 12, 2023",Education and Information Technologies,10.1007/s10639-023-12367-3,Arthur Tatnall,2023,https://link.springer.com/article/10.1007/s10639-023-12367-3
Secure Knowledge Management and Cybersecurity in the Era of Artificial Intelligence,Information Systems Frontiers,10.1007/s10796-023-10372-y,Sagar SamtaniZiming ZhaoRam Krishnan,2023,https://link.springer.com/article/10.1007/s10796-023-10372-y
Discerning cybers?€? threats in an era of digitally connected classrooms: lessons for the Nigerian higher education system and society,Discover Computing,10.1007/s10791-025-09564-8,Adedayo Olayinka Theodorio,2025,https://link.springer.com/article/10.1007/s10791-025-09564-8
Chatbots: A Framework for Improving Information Security Behaviours using ChatGPT,Human Aspects of Information Security and Assurance,10.1007/978-3-031-38530-8_33,Tapiwa Gundu,2023,https://link.springer.com/chapter/10.1007/978-3-031-38530-8_33
Advances in Teaching and Learning for Cyber Security Education,Lecture Notes in Networks and Systems,10.1007/978-3-031-77524-6,Phil LeggNatalie CoullCharles Clarke,2024,https://link.springer.com/book/10.1007/978-3-031-77524-6
AI-Enhanced Cybersecurity Training: Integrating Ethical Reasoning and Personalized Learning Pathways,"Proceedings of the Future Technologies Conference (FTC) 2024, Volume 1",10.1007/978-3-031-73110-5_41,Randy HinrichsLalitha SubramanianAlejandro AyalaBarbara Endicott-PopovskySharon Stoll,2024,https://link.springer.com/chapter/10.1007/978-3-031-73110-5_41
Toward A Higher Resilience Against Cyberattacks,Datenschutz und Datensicherheit - DuD,10.1007/s11623-024-1923-0,Martin BrehmerVanessa SteinherrRaphaela St??ckl,2024,https://link.springer.com/article/10.1007/s11623-024-1923-0
Editorial: EAIT 29: 1?€?7,Education and Information Technologies,10.1007/s10639-024-12832-7,Arthur Tatnall,2024,https://link.springer.com/article/10.1007/s10639-024-12832-7
Employee Motivation in&#xa0;Organizational Cybersecurity: Matching Theory and&#xa0;Reality,Human Aspects of Information Security and Assurance,10.1007/978-3-031-72559-3_1,Tobias ReittingerMagdalena GlasSarah AminzadaG??nther Pernul,2025,https://link.springer.com/chapter/10.1007/978-3-031-72559-3_1
Security and Privacy Concerns in ChatGPT,Beyond AI,10.1007/978-3-031-45282-6_11,Ken HuangFan ZhangYale LiSean WrightVasan KidambiVishwas Manral,2023,https://link.springer.com/chapter/10.1007/978-3-031-45282-6_11
Enablers of AI Deployment in Pursuit of SDGs,Deploying Artificial Intelligence to Achieve the UN Sustainable Development Goals,10.1007/978-3-031-88423-8_7,Prof. Dr. Eng. Mutambara,2025,https://link.springer.com/chapter/10.1007/978-3-031-88423-8_7
From Paper to&#xa0;Pixel: The Digitalization of&#xa0;a&#xa0;Serious Game,Innovations for Community Services,10.1007/978-3-031-94263-1_18,Judith StrussenbergKarl SeidenfadMaximilian GreinerKevin RieselJan BiermannUlrike Lechner,2025,https://link.springer.com/chapter/10.1007/978-3-031-94263-1_18
Exploring the Role of GenAI in Shaping Education,Intelligent Human Computer Interaction,10.1007/978-3-031-88881-6_10,Nandan HirparaMaria WeberAnnamaria SzakonyiTatiana CardonaDhananjay Singh,2025,https://link.springer.com/chapter/10.1007/978-3-031-88881-6_10
Cybot: A Chatbot for&#xa0;Teaching and&#xa0;Testing Cybersecurity Courses,"Methodologies and Intelligent Systems for Technology Enhanced Learning, 14th International Conference",10.1007/978-3-031-73538-7_25,Mostafa NourWalid El HefnyAlia El Bolock,2024,https://link.springer.com/chapter/10.1007/978-3-031-73538-7_25
Policy brief Belgian EBCP mirror group&#xa0;Artificial Intelligence in cancer care,Archives of Public Health,10.1186/s13690-024-01367-5,Emilie Cau??tGabrielle SchittecatteMarc Van Den BulckeValentina AlbaraniEl Maati AllaouiH??l??ne Antoine-PoirelSarah BaatoutGlenn BroeckxMarcela ChavezEmmanuel CocheRomaric CroesSofie De BroePieter DemetterChlo?? De WitteLouis DelsupeheFrederik DemanAmelie DendoovenJennifer DhontGokhan ErtaylanThierry GevaertStefan GijsselsKoen HasaersKarin HaustermansRudy HovelinckRoland HustinxS??bastien JodogneLies LahousseSteven LauwersStephane LejeuneArthur LeloupEvi LippensBenoit MacqBrigitte MaesCarlos MecaWard RommelRoberto SalgadoBart SchelfhoutWim SchreursGwen SysLien Van De VoordeIsabelle Van Den BulckJohan Van LintWim Van RooseKristel Van SteenAd VandermeulenPieter-Jan VoldersSuresh Yogeswaran,2024,https://link.springer.com/article/10.1186/s13690-024-01367-5
A Profile-Based Cyber Security Readiness Assessment Framework at Country Level,Human Aspects of Information Security and Assurance,10.1007/978-3-031-72559-3_7,Raymond AgyemangSteven FurnellTim Muller,2025,https://link.springer.com/chapter/10.1007/978-3-031-72559-3_7
Application of Artificial Intelligence in Latin American Public Sector: A PRISMA Study,Artificial Intelligence in Government,10.1007/978-3-031-87623-3_2,David Valle-Cruz??ngel Gabriel Est??vez-PedrazaEnrique Hernandez-LaredoRub?? Esmeralda Rosales-ChaveroMart??n Carlos Vera-Estrada,2025,https://link.springer.com/chapter/10.1007/978-3-031-87623-3_2
A Proof of&#xa0;Concept for&#xa0;Testing Validity of&#xa0;AI-Generated Content in&#xa0;the&#xa0;Context of&#xa0;Personalized Cybersecurity Training,HCI International 2025 Posters,10.1007/978-3-031-94159-7_1,Yusuf AlbayramSean CliffordAndrew KrasuskiMatthew QuijanoRoland Van Duine,2025,https://link.springer.com/chapter/10.1007/978-3-031-94159-7_1
Spreading cybersecurity awareness via gamification: zero-day game,International Journal of Information Technology,10.1007/s41870-024-01810-4,Fadi Abu-AmaraReem Al HosaniHamda Al TamimiBaraka Al Hamdi,2024,https://link.springer.com/article/10.1007/s41870-024-01810-4
Explainable and&#xa0;Trustworthy AI with&#xa0;Neuro-Symbolic Approaches,Neuro-Symbolic Artificial Intelligence,10.1007/978-981-97-8171-3_16,Bikram Pratim BhuyanAmar Ramdane-CherifThipendra P. SinghRavi Tomar,2025,https://link.springer.com/chapter/10.1007/978-981-97-8171-3_16
Challenges and&#xa0;Outcomes of&#xa0;Organizing an&#xa0;Open Discussion Forum for&#xa0;Building the&#xa0;CSEd Research Community,Computing Education Research,10.1007/978-3-031-84391-4_3,Neeraj GoelBhumika ShahMrityunjay KumarRitwik MuraliRuchika Gupta,2025,https://link.springer.com/chapter/10.1007/978-3-031-84391-4_3
Developing Adaptive AI Cyber Range Training Modules for&#xa0;Critical Infrastructure Sectors,Artificial Intelligence Applications and Innovations. AIAI 2025 IFIP WG 12.5 International Workshops,10.1007/978-3-031-97317-8_12,Christos A. GizelisNikolaos NikoloudakisDimitrios PapanikasPetros PanagiotidisDimitris MerkourisPanagiotis Mpempis,2025,https://link.springer.com/chapter/10.1007/978-3-031-97317-8_12
"Integrating Gamification, Recommender System, and&#xa0;Chatbot in&#xa0;Cybersecurity Training: A User-Centered Approach for&#xa0;Enhanced Engagement and&#xa0;Motivation","HCI for Cybersecurity, Privacy and Trust",10.1007/978-3-031-92833-8_15,Ling LeungBeno??t DuhouxAxel LegaySuzanne Kieffer,2025,https://link.springer.com/chapter/10.1007/978-3-031-92833-8_15
The Importance of Cybersecurity Awareness Training in the Aviation Industry for Early Detection of Cyberthreats and Vulnerabilities,HCI International 2023 ?€? Late Breaking Papers,10.1007/978-3-031-48057-7_29,Regner SabillonJuan Ramon Bermejo Higuera,2023,https://link.springer.com/chapter/10.1007/978-3-031-48057-7_29
Scope and General Requirements,The EU AI Act,10.1007/978-3-662-70201-7_1,Paul VoigtNils Hullen,2024,https://link.springer.com/chapter/10.1007/978-3-662-70201-7_1
We have Phishing at Home: Quantitative Study on Email Phishing Susceptibility in Private Contexts,Information Security,10.1007/978-3-031-75764-8_13,Daniel K??hlerWenzel P??nterChristoph Meinel,2025,https://link.springer.com/chapter/10.1007/978-3-031-75764-8_13
An analysis of informational power transformations: from modern state to the new regime of performativity,AI & SOCIETY,10.1007/s00146-023-01815-w,Francesco Abbate,2023,https://link.springer.com/article/10.1007/s00146-023-01815-w
A comprehensive survey of manual and dynamic approaches for cybersecurity taxonomy generation,Knowledge and Information Systems,10.1007/s10115-025-02382-w,Arnolnt SpyrosAnna KougioumtzidouAngelos PapoutsisEleni DarraDimitrios KavallierosAthanasios TziouvarasTheodora TsikrikaStefanos VrochidisIoannis Kompatsiaris,2025,https://link.springer.com/article/10.1007/s10115-025-02382-w
Evaluating the Effectiveness of Customised Phishing Simulations in Enhancing Cybersecurity Awareness at a University in Thailand,"Advances in Internet, Data and Web Technologies",10.1007/978-3-031-86149-9_12,Damrongsak NaparatOpas MuensaenWorajak Chaikaew,2025,https://link.springer.com/chapter/10.1007/978-3-031-86149-9_12
Artificial intelligence (AI) cybersecurity dimensions: a comprehensive framework for understanding adversarial and offensive AI,AI and Ethics,10.1007/s43681-024-00427-4,Masike MalatjiAlaa Tolah,2024,https://link.springer.com/article/10.1007/s43681-024-00427-4
Guidelines for&#xa0;Supporting Software Engineers in&#xa0;Developing Secure Web Applications,Product-Focused Software Process Improvement,10.1007/978-3-031-78386-9_9,Klara SvenssonDrake AxelrodMazen MohamadRebekka Wohlrab,2025,https://link.springer.com/chapter/10.1007/978-3-031-78386-9_9
Next-Generation Credit Scoring: Enhancing Model Performance Through Synthetic Data Generation with Generative Adversarial Networks,Generative AI in FinTech: Revolutionizing Finance Through Intelligent Algorithms,10.1007/978-3-031-76957-3_9,Anshumita SinghShruti SinhaSwati Chauhan,2025,https://link.springer.com/chapter/10.1007/978-3-031-76957-3_9
Introduction to Information Systems Research in Vietnam: Current Progress and New Frontiers,"Information Systems Research in Vietnam, Volume 2",10.1007/978-981-99-4792-8_1,Duy Dang-PhamAi-Phuong HoangHoanh-Su LeTuan Q. PhanNguyen Hoang Thuan,2024,https://link.springer.com/chapter/10.1007/978-981-99-4792-8_1
Cybersecurity Workforce Readiness Recommender System Using NLP,"Proceedings of the Future Technologies Conference (FTC) 2023, Volume 2",10.1007/978-3-031-47451-4_43,Ramoni O. Lasisi,2023,https://link.springer.com/chapter/10.1007/978-3-031-47451-4_43
The Recent Trends of Research on GitHub Copilot: A Systematic Review,Computing and Informatics,10.1007/978-981-99-9589-9_27,Zhamri Che AniZauridah Abdul HamidNur Nazifa Zhamri,2024,https://link.springer.com/chapter/10.1007/978-981-99-9589-9_27
Augmented Intelligence Framework for Human?€?Artificial Intelligence Teaming in Cybersecurity,Human-Centric Intelligent Systems,10.1007/s44230-025-00103-8,Masike Malatji,2025,https://link.springer.com/article/10.1007/s44230-025-00103-8
Cybersecurity as a Service,Cybersecurity Vigilance and Security Engineering of Internet of Everything,10.1007/978-3-031-45162-1_9,John MorrisStefan TatschnerMichael P. HeinlPatrizia HeinlThomas NeweSven Plaga,2024,https://link.springer.com/chapter/10.1007/978-3-031-45162-1_9
From Security Awareness and&#xa0;Training to&#xa0;Human Risk Management in&#xa0;Cybersecurity,"HCI for Cybersecurity, Privacy and Trust",10.1007/978-3-031-92833-8_6,Jason R. C. NurseJoanna MilwardOz Alashe,2025,https://link.springer.com/chapter/10.1007/978-3-031-92833-8_6
Cybersecurity in the Digital Age,Technology for Societal Transformation,10.1007/978-981-96-1721-0_8,Ileyas RizviShiv RajVikram Singh,2025,https://link.springer.com/chapter/10.1007/978-981-96-1721-0_8
Building a holistic cybersecurity framework for e-Government based on a systematic analysis of proposals,International Journal of Information Security,10.1007/s10207-025-01024-0,Victor FigueroaLuis Enrique S??nchez??CrespoAntonio Santos-OlmoDavid G. RosadoEduardo Fern??ndez-Medina,2025,https://link.springer.com/article/10.1007/s10207-025-01024-0
Integrating AI-driven threat intelligence and forecasting in the cyber security exercise content generation lifecycle,International Journal of Information Security,10.1007/s10207-024-00860-w,Alexandros ZacharisVasilios KatosConstantinos Patsakis,2024,https://link.springer.com/article/10.1007/s10207-024-00860-w
The Effect of EU?€?s Artificial Intelligence Act on Cyber Security Training,Futureproofing Engineering Education for Global Responsibility,10.1007/978-3-031-83523-0_21,Jyri Rajam??kiTimo SavolainenIlkka Tikanm??ki,2025,https://link.springer.com/chapter/10.1007/978-3-031-83523-0_21
"Cybersecurity Awareness, Education, and Workplace Training Using Socially Enabled Intelligent Chatbots",Creative Approaches to Technology-Enhanced Learning for the Workplace and Higher Education,10.1007/978-3-031-41637-8_1,Sherif AbdelhamidTanner MallariMona Aly,2023,https://link.springer.com/chapter/10.1007/978-3-031-41637-8_1
Introduction to Computer Network Vulnerabilities,Guide to Computer Network Security,10.1007/978-3-031-47549-8_4,Joseph Migga Kizza,2024,https://link.springer.com/chapter/10.1007/978-3-031-47549-8_4
Importance of Human Judgment in Artificial Intelligence: A Panoramic Overview,Algorithms and Computational Theory for Engineering Applications,10.1007/978-3-031-72747-4_34,Nilesh Bhaskarrao BahadureRamdas KhomaneShafaqSahil PathanAkash SharmaParth Satokar,2025,https://link.springer.com/chapter/10.1007/978-3-031-72747-4_34
An intrusion attack classification using bio-inspired optimization technique and ensemble learning model for edge computing environments,Multimedia Tools and Applications,10.1007/s11042-024-20314-8,Mohemmed Yousuf RahamathullaMangayarkarasi Ramaiah,2024,https://link.springer.com/article/10.1007/s11042-024-20314-8
The Business Opportunities of Today,The Early-Career Professional?€?s Guide to Generative AI,10.1007/979-8-8688-0456-4_5,Jonas Bjerg,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0456-4_5
Rising Emerging Information Technologies: Enablers,Building Digital Twin Metaverse Cities,10.1007/979-8-8688-0811-1_8,Xiangming Samuel Li,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0811-1_8
Design of Indo-Pacific Core and Peripheral Digital Economic Communities,Indo-Pacific Core and Peripheral Digital Economic Communities,10.1007/978-981-96-1793-7_1,T. M. Vinod Kumar,2025,https://link.springer.com/chapter/10.1007/978-981-96-1793-7_1
Behavioral Computing for Human Factor Security and Safety in Cyberfinance,Human Factor Security and Safety,10.1007/978-981-96-5194-8_8,Cheng Wang,2025,https://link.springer.com/chapter/10.1007/978-981-96-5194-8_8
Artificial Intelligence-Driven Cyberattacks,"Cybersecurity, Psychology and People Hacking",10.1007/978-3-031-85994-6_17,Tarnveer Singh,2025,https://link.springer.com/chapter/10.1007/978-3-031-85994-6_17
Key Security Risks in Prompt Engineering,The Essential Guide to Prompt Engineering,10.1007/978-3-031-86206-9_5,Vladimir Geroimenko,2025,https://link.springer.com/chapter/10.1007/978-3-031-86206-9_5
Factors associated with patient privacy concerns in AI-based health monitoring devices among nursing students: a cross-sectional study,BMC Nursing,10.1186/s12912-025-03453-7,Yang YangHui WangKunshuo DuXue WangJiukai ZhaoDong HanYu YangShuang Zang,2025,https://link.springer.com/article/10.1186/s12912-025-03453-7
Ethical Dilemmas and Human Factors in the Application of AI in Cybersecurity,AI Ethics in Practice,10.1007/978-3-031-87023-1_6,Yanya ViskovichVibha Mohan,2025,https://link.springer.com/chapter/10.1007/978-3-031-87023-1_6
"Survey on Explainable AI: From Approaches, Limitations and Applications Aspects",Human-Centric Intelligent Systems,10.1007/s44230-023-00038-y,Wenli YangYuchen WeiHanyu WeiYanyu ChenGuan HuangXiang LiRenjie LiNaimeng YaoXinyi WangXiaotong GuMuhammad Bilal AminByeong Kang,2023,https://link.springer.com/article/10.1007/s44230-023-00038-y
Artificial Intelligence and Policy in&#xa0;Healthcare Industry,Artificial Intelligence in Drug Development,10.1007/978-981-97-2954-8_4,Kavita SharmaPadmavati Manchikanti,2024,https://link.springer.com/chapter/10.1007/978-981-97-2954-8_4
Decision support system to reveal future career over students?€? survey using explainable AI,Education and Information Technologies,10.1007/s10639-025-13361-7,Sakir Hossain FaruqueSharun Akter KhushbuSharmin Akter,2025,https://link.springer.com/article/10.1007/s10639-025-13361-7
Nonprofit Digital Maturity Model (NDMM),Nonprofit Digital Transformation Demystified,10.1007/978-3-031-47182-7_8,Ali A. GooyabadiZahra GorjianKhanzadNewton Lee,2024,https://link.springer.com/chapter/10.1007/978-3-031-47182-7_8
Summary and Future Trends,Web3 Applications Security and New Security Landscape,10.1007/978-3-031-58002-4_11,Jerry HuangKen HuangWinston Ma,2024,https://link.springer.com/chapter/10.1007/978-3-031-58002-4_11
Attention to&#xa0;Emotions: Body Emotion Recognition In-the-Wild Using Self-attention Transformer Network,"Computer Vision, Imaging and Computer Graphics Theory and Applications",10.1007/978-3-031-66743-5_10,Pedro V. V. PaivaJosu?? J. G. RamosMarina GavrilovaMarco A. G. Carvalho,2024,https://link.springer.com/chapter/10.1007/978-3-031-66743-5_10
Overview,World Internet Development Report 2022,10.1007/978-981-99-5386-8_1,,2024,https://link.springer.com/chapter/10.1007/978-981-99-5386-8_1
A Review of the Projects Using Collective Intelligence in Policymaking,Collective Intelligence in Open Policymaking,10.1007/978-3-031-58191-5_3,Rafa?? Olszowski,2024,https://link.springer.com/chapter/10.1007/978-3-031-58191-5_3
The AI Ecosystem of Shanghai,The Use of Artificial Intelligence in the Public Sector in Shanghai,10.1007/978-981-97-0597-9_4,Diego Todaro,2024,https://link.springer.com/chapter/10.1007/978-981-97-0597-9_4
Social Impacts of Disasters,Economics of Natural Disasters,10.1007/978-981-99-7430-6_3,Prarthna Agarwal GoelJoyita Roy ChowdhuryCharu Grover SharmaYashobanta Parida,2024,https://link.springer.com/chapter/10.1007/978-981-99-7430-6_3
"Digitalization, Cultural Production, Exchange, and Consumption","Digital Geographies?€?Urbanisation,??Economy,??and Modelling",10.1007/978-981-97-9278-8_5,Abdul Shaban,2024,https://link.springer.com/chapter/10.1007/978-981-97-9278-8_5
Certification and Accreditation Overview,Handbook of Digital and Multimedia Forensic Evidence,10.1007/978-1-59745-577-0_3,John J. Barbara,2008,https://link.springer.com/chapter/10.1007/978-1-59745-577-0_3
