Document Title,Authors,Publication Title,Publication Year,Abstract,DOI,PDF Link
"Generative AI-Enhanced Intelligent Tutoring System for Graduate
   Cybersecurity Programs","Mukherjee, Madhav and Le, John and Chow, Yang-Wai",FUTURE INTERNET,2025,"Due to the widespread applicability of generative artificial
   intelligence, we have seen it adopted across many areas of education,
   providing universities with new opportunities, particularly in
   cybersecurity education. With the industry facing a skills shortage,
   this paper explores the use of generative artificial intelligence in
   higher cybersecurity education as an intelligent tutoring system to
   enhance factors leading to positive student outcomes. Despite its
   success in content generation and assessment within cybersecurity, the
   field's multidisciplinary nature presents additional challenges to
   scalability and generalisability. We propose a solution using agents to
   orchestrate specialised large language models and to demonstrate its
   applicability in graduate level cybersecurity topics offered at a
   leading Australian university. We aim to show a generalisable and
   scalable solution to diversified educational paradigms, highlighting its
   relevant features, and a method to evaluate the quality of content as
   well as the general effectiveness of the intelligent tutoring system on
   subjective factors aligned with positive student outcomes. We further
   explore areas for future research in model efficiency, privacy,
   security, and scalability.",10.3390/fi17040154,
"CyberQ: Generating Questions and Answers for Cybersecurity Education
   Using Knowledge Graph-Augmented LLMs","Agrawal, Garima and Pal, Kuntal and Deng, Yuli and Liu, Huan and Chen,
   Ying-Chih","THIRTY-EIGTH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, VOL 38 NO 21",2024,"Building a skilled cybersecurity workforce is paramount to building a
   safer digital world. However, the diverse skill set, constantly emerging
   vulnerabilities, and deployment of new cyber threats make learning
   cybersecurity challenging. Traditional education methods struggle to
   cope with cybersecurity's rapidly evolving landscape and keep students
   engaged and motivated. Different studies on students' behaviors show
   that an interactive mode of education by engaging through a
   question-answering system or dialoguing is one of the most effective
   learning methodologies. There is a strong need to create advanced
   AI-enabled education tools to promote interactive learning in
   cybersecurity. Unfortunately, there are no publicly available standard
   question-answer datasets to build such systems for students and novice
   learners to learn cybersecurity concepts, tools, and techniques. The
   education course material and online question banks are unstructured and
   need to be validated and updated by domain experts, which is tedious
   when done manually. In this paper, we propose CyberGen, a novel
   unification of large language models (LLMs) and knowledge graphs (KG) to
   generate the questions and answers for cybersecurity automatically.
   Augmenting the structured knowledge from knowledge graphs in prompts
   improves factual reasoning and reduces hallucinations in LLMs. We used
   the knowledge triples from cybersecurity knowledge graphs (AISecKG) to
   design prompts for ChatGPT and generate questions and answers using
   different prompting techniques. Our question-answer dataset, CyberQ,
   contains around 4k pairs of questions and answers. The domain expert
   manually evaluated the random samples for consistency and correctness.
   We train the generative model using the CyberQ dataset for question
   answering task.",,
"Assessing the Impact of Large Language Models on Cybersecurity
   Education: A Study of ChatGPT's Influence on Student Performance","Ohm, Marc and Bungartz, Christian and Boes, Felix and Meier, Michael","19TH INTERNATIONAL CONFERENCE ON AVAILABILITY, RELIABILITY, AND
   SECURITY, ARES 2024",2024,"The popularity of chatbots to facilitate day-to-day business, including
   students and their study exercises, is on the rise. This paper
   investigates the extent and effects on the academic performance of
   students that leverage such tools. While many other approaches are
   hypothesized and discussed, we measure empirically. We recorded and
   compared the performance of cybersecurity students in weekly exercises
   and final exams over a period of three years. This allows us to have
   three groups with varying degrees of ChatGPT influence, namely no
   access, uncontrolled access, and controlled access. In an anonymous
   survey, we found that approximately 80\% of our students utilize ChatGPT
   during the weekly assignments in 2023. However, none of them indicated
   this on their submission, despite it being a mandatory requirement.
   Through statistical analysis of achieved points in our sample groups, we
   identified that students perform similarly on the weekly assignments.
   However, their performance on the final examination deteriorates.",10.1145/3664476.3670446,
"Fine-Tuning AI to Assist in Building Curriculum for the CIA Triad and
   Cyber Kill Chain","Flores, Paige and Kaza, Siddharth and Taylor, Blair","PROCEEDINGS OF THE 2024 CONFERENCE INNOVATION AND TECHNOLOGY IN COMPUTER
   SCIENCE EDUCATION, VOL 2, ITICSE 2024",2024,"Educators face the continuous challenge of updating their teaching
   materials with the fast-paced changes in cybersecurity and integrating
   emerging topics into their existing content. This work presents the
   development progress of a cybersecurity curriculum fine-tuned Large
   Language Model (LLM) designed to assist educators in creating engaging
   curricular materials for introductory cybersecurity topics. Recent
   advancements in Natural Language Processing (NLP) and the increased
   number of openly available LLMs like OpenAI's GPT and Meta's Llama
   present an opportunity to fine-tune these models for specific domains
   like cybersecurity. The fine-tuned LLMs offer a potential solution by
   reducing the amount of work necessary to regularly update curricular
   content, including lab assignments, assessments, in-class activities,
   and other additional resources for both synchronous and asynchronous
   classrooms.",10.1145/3649405.3659495,
Accessible Cybersecurity Education Using Prompt Tree,"Nara, Pavan Subhash Chandrabose and Mitra, Reshmi and Roy, Indranil and
   Cole, III, T. Robin","COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING, CAINE 2024",2025,"This paper presents a novel approach to developing an innovative prompt
   tree structure for cybersecurity education and training. It aims to
   address the challenges of accessibility and technical complexity within
   the field. The proposed framework utilizes customizable prompts and
   recipe-style interactions with Large Language Models (LLMs) to guide
   users in addressing cybersecurity issues. This framework is inspired by
   the popular fishbone diagram and utilizes credible cybersecurity
   frameworks such as OWASP and NVD. The system is designed to empower
   individuals, regardless of their expertise, to effectively understand
   and implement cybersecurity measures.",10.1007/978-3-031-76273-4\_9,
"Case Study 2: Mapping between an E-Voting Curriculum and the DHS/NSA CAE
   Knowledge Units","Sanchez, Edwin Antonio and Zheng, Muwei and Bishop, Matt and Zou, Xukai","PROCEEDINGS OF THE 56TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE
   EDUCATION, SIGCSE TS 2025, VOL 1",2025,,10.1145/3641554.3701960,
"Case Study 2: Mapping between an E-Voting Curriculum and the DHS/NSA CAE
   Knowledge Units","Sanchez, Edwin Antonio and Zheng, Muwei and Bishop, Matt and Zou, Xukai","PROCEEDINGS OF THE 56TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE
   EDUCATION, SIGCSE TS 2025, VOL 1",2025,,,
Friend or Foe - The Impact of ChatGPT on Capture the Flag Competitions,"Pieterse, Heloise","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON CYBER WARFARE AND
   SECURITY, ICCWS 2024",2024,"ChatGPT, an artificial intelligence (AI)-based chatbot, has taken the
   world by storm since the technology's release to the public in November
   2022. The first reactions were awe and amazement as ChatGPT presented
   the capability to instantly respond to various text-based questions
   following a conversational approach. However, it is ChatGPT's ability to
   complete more advanced tasks, such as supplying source code to
   programming-related questions or generating complete articles focusing
   on a specific topic, which has caused eyebrows to be raised. The
   capabilities offered by ChatGPT, fuelled by popularity and easy
   accessibility, have introduced several new challenges for the academic
   sector. One such challenge is the concept of AI-assisted cheating, where
   students utilise chatbots, such as ChatGPT, to answer specific questions
   or complete assignments. Although various research studies have explored
   the impact of ChatGPT on university education, few studies have
   discussed the influence of ChatGPT on Capture the Flag (CTF)
   competitions. CTF competitions offer a popular platform to promote
   cybersecurity education, allowing students to gain hands-on experience
   solving cybersecurity challenges in a fun but controlled environment.
   The typical style of CTF challenges usually follows a question-answer
   format, which offers students the ideal opportunity to enlist the
   assistance of ChatGPT. This paper investigates the ability of ChatGPT to
   assist and aid students in solving CTF challenges. The exploratory study
   involves past CTF challenges across various categories and the
   questioning of ChatGPT in an attempt to solve the challenges. The
   outcome of the study reveals that although ChatGPT can assist students
   with challenges during CTF competitions, the assistance that can be
   offered is minimal. Instead of producing answers to CTF challenges,
   ChatGPT can merely offer insight or guidance regarding the questions
   asked.",,
SENSAI: Large Language Models as Applied Cybersecurity Tutors,"Nelson, Connor and Doupe, Adam and Shoshitaishvili, Yan","PROCEEDINGS OF THE 56TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE
   EDUCATION, SIGCSE TS 2025, VOL 1",2025,"The modern educational landscape faces the challenge of maintaining
   effective, personalized mentorship amid expanding class sizes. This
   challenge is particularly pronounced in fields requiring hands-on
   practice, such as cybersecurity education. Teaching assistants and peer
   interactions provide some relief, but the student-to-educator ratio
   often remains high, limiting individualized attention. The advent of
   Large Language Models (LLMs) offers a promising solution by potentially
   providing scalable and personalized guidance. In this paper, we
   introduce SENSAI, an AI-powered tutoring system that leverages LLMs to
   offer tailored feedback and assistance by transparently extracting and
   utilizing the learner's working context, including their active
   terminals and edited files. Over the past year, SENSAI has been deployed
   in an applied cybersecurity curriculum at a large public R1 university
   and made available to a broader online community of global learners,
   assisting 2,742 users with hundreds of educational challenges. In total
   178,074 messages were exchanged across 15,413 sessions, incurring a
   total cost of \$1,979-comparable to that of a single undergraduate
   teaching assistant but with a significantly wider reach. SENSAI
   demonstrates significant improvements in student problem-solving
   efficiency and satisfaction, offering insights into the future role of
   AI in education.",10.1145/3641554.3701801,
"Educators' friend - applying generative AI to create effective digital
   learning objects for information security education: toward initial
   design principles","Brehmer, Martin and Buonassisi, Vito","PROCEEDINGS OF THE 57TH ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM
   SCIENCES",2024,"This article investigates the application of generative artificial
   intelligence to support educators in the efficient creation of effective
   learning content for digital learning objects (LO). In our design
   science research study, we develop a pedagogically founded artifact as
   an instance for a digital LO, populated with content that is generated
   with the support of generative artificial intelligence. This LO serves
   to educate students in the lecture for data privacy and information
   security at a German state university. Based on relevant literature and
   developed design knowledge, we derive an initial set of design
   principles. These principles are evaluated based on the effectiveness of
   the implemented LO from the students' perspective, whether the learning
   object fulfills its purpose to promote learning and engagement but also
   if it provides high quality content within the learning object.",,
"Experiential Learning Through Immersive XR: Cybersecurity Education for
   Critical Infrastructures","Lee, Anthony and King, Kenneth and Gracanin, Denis and Azab, Mohamed","HCI FOR CYBERSECURITY, PRIVACY AND TRUST, PT II, HCI-CPT 2024",2024,"with computer systems, critical infrastructures face vulnerability to a
   variety of cyber-attacks, stemming from the absence of a cybersecurity
   mindset within these establishments. We need to efficiently educate
   these workers about the cybersecurity threats that exist, their
   potential effects, and the subsequent substantial impact on human
   populations. Previous research has suggested traditional non-interactive
   training methods are often not effective. We propose an interactive
   learning experience that incorporates Extended Reality, Digital Twins,
   and Artificial Intelligence (AI) to help workers become more aware of
   cybersecurity issues within their critical infrastructure. This paper
   introduces an innovative testbed that seamlessly integrates Artificial
   Intelligence (AI) and Large Language Models to create an immersive
   educational experience. The goal is to effectively convey complex
   technical concepts to users with limited background knowledge on the
   subject. Our specific focus lies in addressing the need for proper
   cybersecurity training among water treatment plant employees.
   The testbed presented is meticulously crafted to provide users with a
   tangible representation of the potential outcomes resulting from
   successful cyber attacks on such facilities. Through this approach, we
   aim to enhance the educational process and promote a deeper
   understanding of cybersecurity challenges in critical infrastructure
   like water treatment plants.",10.1007/978-3-031-61382-1\_4,
"PentHack: AI-Enabled Penetration Testing Platform for Knowledge
   Development","Alaryani, Meera and Alremeithi, Shamsa and Al Ali, Fatima and Ikuesan,
   Richard","PROCEEDINGS OF THE 23RD EUROPEAN CONFERENCE ON CYBER WARFARE AND
   SECURITY, ECCWS 2024",2024,"The process of conducting and executing penetration testing within the
   pedagogical paradigm often requires complex and arduous processes. This
   is especially daunting for beginners who often struggle with the
   complexities of penetration processes: reconnaissance, enumeration, and
   system hacking. Research works to address this complexity leverage
   industry tools that have proven to work for industry-related training,
   however, they fail to support pedagogical learning in higher education
   systems. To address this limitation, this study proposed the development
   of an academic-focused penetration testing learning platform. The
   proposed approach integrates large language models (LLM) into the
   penetration testing lifecycle through a user-friendly GUI tool. The tool
   addresses the void in beginner-friendly ethical hacking tools by
   offering a stepwise guide, built-in commands and justifications, report
   generation, and an LLM prompt-engineered output displayed in a simple
   tabular format for easy reference. Furthermore, the tool provides an
   interactive menu for each phase of the penetration lifecycle thereby
   guiding users through common penetration testing commands. To cater to
   deeper learning needs, the tool leverages LLMs to furnish additional
   information on commands, empowering users with AI-generated insights.
   With the capability to compile a comprehensive report with all commands
   and logs acquired during its use, the proposed tool has the potential to
   reduce the time spent on research and decision-making. In addition, it
   streamlines the learning curve, allowing a more informed and structured
   approach to Pen-testing for beginners. By leveraging this platform,
   academics and learners can enhance their penetration testing knowledge
   without the complexities associated with learning penetration testing.",,
"How universities teach cybersecurity courses online: a systematic
   literature review","Ahmed, Ali and Watterson, Craig and Alhashmi, Saadat and Gaber, Tarek",FRONTIERS IN COMPUTER SCIENCE,2024,"Introduction Distance learning has seen a significant increase as
   educational institutions have shifted toward offering online courses.
   Although some institutions quickly adapted, many struggled to modify
   traditional materials for online learners. Time was crucial for
   institutions lacking experience in remote teaching. Designing engaging
   online cybersecurity modules for diverse students is a major challenge.
   With the growing popularity of online courses, it is necessary to
   examine the teaching methods used. This paper presents a systematic
   literature review on the current state of online cybersecurity education
   at universities. Using the PRISMA approach, the study identifies
   prevalent themes and addresses key research questions. This study aims
   to analyze academic articles to highlight key findings on how
   universities teach cybersecurity courses online. Methods The authors
   conducted a systematic review of scholarly articles, adhering to the
   PRISMA approach for the period from January 2010 to August 2024. PRISMA
   offers a structured approach to planning, executing, and reporting
   systematic reviews in various fields, including healthcare and social
   sciences. Results The review revealed several key findings on the design
   of online cybersecurity courses. Learner-centered approaches were
   commonly used, featuring active learning and practical applications.
   Effective instructional methods included collaborative learning, case
   studies, and simulations, which promoted student engagement and critical
   thinking. Universities emphasize practical skills evaluation and
   knowledge acquisition through project-based assessments. The role of IT
   tools was highlighted, with virtual laboratories, gamification, and
   simulations providing hands-on experiences, enhancing motivation, and
   facilitating active learning. Discussion This systematic review provides
   a comprehensive overview of the current online cybersecurity education
   practices in online universities. As a pioneering effort, it offers
   educators and curriculum developers valuable insight into designing
   effective online cybersecurity programmes to enhance teaching and
   learning practices. The review of online cybersecurity education
   highlighted several key findings. Learner-centered approaches, which
   incorporate active learning practices and practical applications, were
   prevalent. Effective instructional methods included collaborative
   learning, case studies, and simulations, which fostered student
   engagement and critical thinking. Assessments focused on the acquisition
   of practical skills and knowledge, using project-based tasks, practical
   exercises, and online quizzes. IT tools played a significant role, with
   virtual laboratories, gamification, and simulation environments that
   enhanced hands-on experiences, motivation, and active learning.",10.3389/fcomp.2024.1499490,
