Document Title,Authors,Publication Title,Publication Year,Abstract,DOI,PDF Link
Integrating Prompt Structures Using LLM Embeddings for Cybersecurity Threats,"Meda, Kavya Nikhita and Nara, Pavan Subhash Chandrabose and Bozenka, Svoboda and Zormati, Tarek and Turner, Seth and Worley, Wayne and Mitra, Reshmi",Proceedings of the 2025 ACM Southeast Conference,2025,"This paper aims to develop a specialized Large Language Model (LLM) for cybersecurity training, designed to educate users on fundamental cybersecurity concepts. This paper focuses on creating an interactive system where users can ask questions about computer security and receive accurate, informative responses. By addressing cybersecurity as a critical national issue, the LLM empowers individuals and organizations to defend against malicious cyber threats. Our system was developed using Python, utilizing Google Sheets as a database, Gradio for the user interface, and Google Gemini's API for advanced language processing. The implementation followed a test-driven development approach, iterating between coding and testing to ensure functionality and reliability. Key technologies include Mistral's Large 2 model and embedding models for clustering related data. The Retrieval-Augmented Generation (RAG) framework was employed to integrate information retrieval with the LLM, enhancing its accuracy and relevance. Tools such as Google Suite, Colab, and Gradio contributed to creating a robust and user-friendly system. This paper highlights the potential of domain-specific LLMs, offering a practical solution to the growing need for accessible cybersecurity education and fostering awareness to mitigate the risks posed by malicious hackers.",10.1145/3696673.3723069,https://doi.org/10.1145/3696673.3723069
Case Study 2: Mapping between an E-Voting Curriculum and the DHS/NSA CAE Knowledge Units,"Sanchez, Edwin Antonio and Zheng, Muwei and Bishop, Matt and Zou, Xukai",Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,2025,"To become a DHS/NSA Center of Academic Excellence in Cyber Defense (CAE-CD), academic institutions must satisfy several specific Knowledge Units (KUs). How they achieve this is up to the institutions. In this case study, we follow the methodology of an earlier work to demonstrate how key parts of an electronic voting (E-voting)-oriented cybersecurity curriculum, proposed by Hostler et al. [4] in 2021, maps into the DHS/NSA KUs supporting the CAE-CD designation, from two aspects: E-voting principle based topics, i.e., from theory and a plug-and-play e-voting system's composing components, i.e., from practice. We grouped CAE-CD KUs into those required as prerequisites, closely related, related/supported, and not covered by the E-voting curriculum. Teachers can then choose which KUs they will use and teach using only the parts of the E-voting-oriented curriculum they deem relevant, and in a depth they find appropriate to their educational objectives, while meeting the requirements of the selected KUs. We conclude with a discussion of how LLMs (Large Language Models) and quantum computing might be added to the E-voting-oriented curriculum.",10.1145/3641554.3701960,https://doi.org/10.1145/3641554.3701960
SENSAI: Large Language Models as Applied Cybersecurity Tutors,,Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,2025,"The modern educational landscape faces the challenge of maintaining effective, personalized mentorship amid expanding class sizes. This challenge is particularly pronounced in fields requiring hands-on practice, such as cybersecurity education. Teaching assistants and peer interactions provide some relief, but the student-to-educator ratio often remains high, limiting individualized attention. The advent of Large Language Models (LLMs) offers a promising solution by potentially providing scalable and personalized guidance. In this paper, we introduce SENSAI, an AI-powered tutoring system that leverages LLMs to offer tailored feedback and assistance by transparently extracting and utilizing the learner's working context, including their active terminals and edited files. Over the past year, SENSAI has been deployed in an applied cybersecurity curriculum at a large public R1 university and made available to a broader online community of global learners, assisting 2,742 users with hundreds of educational challenges. In total 178,074 messages were exchanged across 15,413 sessions, incurring a total cost of 1,979--comparable to that of a single undergraduate teaching assistant but with a significantly wider reach. SENSAI demonstrates significant improvements in student problem-solving efficiency and satisfaction, offering insights into the future role of AI in education.",10.1145/3641554.3701801,https://doi.org/10.1145/3641554.3701801
Fine-Tuning AI to Assist in Building Curriculum for the CIA Triad and Cyber Kill Chain,"Flores, Paige and Kaza, Siddharth and Taylor, Blair",Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 2,2024,"Educators face the continuous challenge of updating their teaching materials with the fast-paced changes in cybersecurity and integrating emerging topics into their existing content. This work presents the development progress of a cybersecurity curriculum fine-tuned Large Language Model (LLM) designed to assist educators in creating engaging curricular materials for introductory cybersecurity topics. Recent advancements in Natural Language Processing (NLP) and the increased number of openly available LLMs like OpenAI's GPT and Meta's Llama present an opportunity to fine-tune these models for specific domains like cybersecurity. The fine-tuned LLMs offer a potential solution by reducing the amount of work necessary to regularly update curricular content, including lab assignments, assessments, in-class activities, and other additional resources for both synchronous and asynchronous classrooms.",10.1145/3649405.3659495,https://doi.org/10.1145/3649405.3659495
Assessing the Effectiveness of ChatGPT in Secure Code Development: A Systematic Literature Review,"Bouzid, Rezika and Khoury, Rapha\",ACM Comput. Surv.,2025,"ChatGPT, a Large Language Model (LLM) maintained by OpenAI, has demonstrated a remarkable ability to seemingly comprehend and contextually generate text. Among its myriad applications, its capability to autonomously generate and analyze computer code stands out as particularly promising. This functionality has piqued substantial interest due to its potential to streamline the software development process. However, this technological advancement also brings to the forefront significant apprehensions concerning the security of code produced by LLMs. In this paper, we survey recent research that examines the use of ChatGPT to generate secure code, detect vulnerabilities in code, or perform other tasks related to secure code development. Beyond categorizing and synthesizing these studies, we identify important insights into ChatGPT’s potential impact on secure programming. Key findings indicate that while ChatGPT shows great promise as an aid in writing secure code, challenges remain. Its effectiveness varies across security tasks, depending on the context of experimentation (e.g., programming language, CWE, code length, etc.) and the benchmark used for comparison—whether against other LLMs, traditional analysis tools, or its own versions. The overall trend indicates that GPT-4 consistently surpasses its predecessor in most tasks.",10.1145/3744553,https://doi.org/10.1145/3744553
ChatGPT as an Assembly Language Interpreter for Computing Education,"Zuo, Fei and Tompkins, Cody and Qian, Gang and Rhee, Junghwan and Qu, Xianshan and Yang, Bokai",J. Comput. Sci. Coll.,2024,"Assembly language is a low-level programming language useful for a number of important computing areas, such as hardware and embedded systems programming, computer architecture, reverse engineering, and malware analysis. In recent years, generative AI, enhanced by GPT technology, has been widely adopted in the IT industry as well as computing education. However, little work has been done to investigate the applicability of GPT to teaching assembly language. In this paper, we fill in the gap by providing an empirical study of GPT's ability to interpret assembly instructions. In particular, we manually evaluated GPT-4's per-instruction explanations of code segments for four different computer architectures, namely x86, x86-64, ARM, and AArch64. Our study shows that, while inconsistencies and rare errors do exist, GPT's interpretations are highly accurate in general, demonstrating a great potential for such tools to be applied in pedagogical practices for tutoring assembly language.",,
Validation of an Instrument to Measure Self-Efficacy in Information Security,"Tise, Joseph C. and McGill, Monica M.",Proceedings of the 2024 on ACM Virtual Global Computing Education Conference V. 1,2024,"Problem. Extant measures of students' cybersecurity self-efficacy lack sufficient evidence of validity based on internal structure. Such evidence of validity is needed to enhance confidence in conclusions drawn from use of self-efficacy measures in the cybersecurity domain. Research Question. To address this identified problem, we sought to answer our research question: What is the underlying factor structure of a new self-efficacy for Information Security measure?   Method. We leveraged exploratory factor analysis (EFA) to determine the number of factors underlying a new measure of student self-efficacy to conduct information security. This measure was created to align with the five elements of the information security section of the K-12 cybersecurity Education framework. Participants were 190 undergraduate students recruited from computer science courses across the U.S.  Findings. Results from the EFA indicated that a four-factor solution best fit the data while maximizing interpretability of the factors. The internal reliability of the measure was quite strong (α = .99).  Implications. The psychometric quality of this measure was demonstrated, and thus evidence of validity based on internal structure has been established. Future work will conduct a confirmatory factor analysis (CFA) and assess measurement invariance across subgroups of interest (e.g., over- vs. under-represented race/ethnicity groups, gender).",10.1145/3649165.3690095,https://doi.org/10.1145/3649165.3690095
Adding Context to Automated Vulnerability Detection for Teaching Software Security,"Dorard, Antoine and K\",Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 2,2025,"Considering the recent developments in the fiel of generative AI, large language models (LLMs) can be leveraged to enhance static application security testing (SAST) tools and teaching about this topic. These models provide contextual information about identified vulnerabilities which can help students to differentiate genuine issues from false alarms while learning about software security. The approach includes analyzing vulnerabilities in android applications using SAST tools, clustering related code functionalities, and generating multi-level summaries for detected vulnerabilities. The process employs advanced clustering techniques and consensus-building methods to ensure accuracy.",10.1145/3724389.3730794,https://doi.org/10.1145/3724389.3730794
Bridging the Community College Cybersecurity Classroom and Workplace with the CyberSim Lab,,Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,2025,"Most postsecondary cybersecurity education focuses on technical knowledge and skills without commensurate attention to vital non-technical skills. In this position paper, we argue that cybersecurity education must integrate teaching and practicing of non-technical competencies alongside technical knowledge and skills to ensure that both technical and non-technical skills transfer to cybersecurity workplaces. We identify specific learning outcomes that meet these criteria and suggest research-based pedagogical approaches to support learning and transfer. We present a cybersecurity lab designed to address these learning outcomes through experiential learning, roleplay, collaborative learning, technical simulation and metacognitive engagement. The CyberSim Lab serves as a curricular bridge between the classroom and the workplace.",10.1145/3641554.3701834,https://doi.org/10.1145/3641554.3701834
Cybersecurity Exercises in the Age of LLMs,"Weiss, Richard and Mache, Jens",J. Comput. Sci. Coll.,2024,"In this tutorial, we will introduce a cybersecurity education framework for developing polymorphic hands-on exercises. Many faculty readily acknowledge the importance of cybersecurity in the Computer Science curriculum, but there are still barriers to integrating it into existing courses. One of those barriers is the fact that in most courses, the current content fills the entire term. Another issues is that faculty don't have time and expertise to create new content that would fit well with their current content and style. The third problem is that exercises created should be resistant to solution by LLMs. We have developed cybersecurity exercises that combine two principles: environment specificity and polymorphism. Environment specificity means that the solutions to the exercise should depend on the local environment (LLMs don't have access to that information). In this context, polymorphism means that they can be easily modified each time that the class is taught.",,
Cracking Aegis: An Adversarial LLM-based Game for Raising Awareness of Vulnerabilities in Privacy Protection,"Fu, Jiaying and Lu, Yiyang and Yang, Zehua and Nah, Fiona and LC, RAY",Proceedings of the 2025 ACM Designing Interactive Systems Conference,2025,"Traditional methods for raising awareness of privacy protection often fail to engage users or provide hands-on insights into how privacy vulnerabilities are exploited. To address this, we incorporate an adversarial mechanic in the design of the dialogue-based serious game Cracking Aegis. Leveraging LLMs to simulate natural interactions, the game challenges players to impersonate characters and extract sensitive information from an AI agent, Aegis. A user study (n=22) revealed that players employed diverse deceptive linguistic strategies, including storytelling and emotional rapport, to manipulate Aegis. After playing, players reported connecting in-game scenarios with real-world privacy vulnerabilities, such as phishing and impersonation, and expressed intentions to strengthen privacy control, such as avoiding oversharing personal information with AI systems. This work highlights the potential of LLMs to simulate complex relational interactions in serious games, while demonstrating how an adversarial game strategy provides unique insights for designs for social good, particularly privacy protection.",10.1145/3715336.3735812,https://doi.org/10.1145/3715336.3735812
LLMS In Education,"Ng, Lynette",XRDS,2024,,10.1145/3688094,https://doi.org/10.1145/3688094
"From Embodied Abuse to Mass Disruption: Generative, Inter-Reality Threats in Social, Mixed-Reality Platforms","Baldry, Moya Kate and Happa, Jassim and Steed, Anthony and Smith, Simon and Glencross, Mashhuda",Digital Threats,2024,"Extended Reality (XR) platforms can expose users to novel attacks including embodied abuse and/or AI attacks-at-scale. The expanded attack surfaces of XR technologies may expose users of shared online platforms to psychological/social and physiological harms via embodied interactions with potentially millions of other humans or artificial humans, causing what we define as an inter-reality attack. The past 20 years have demonstrated how social and other harms (e.g., bullying, assault and stalking) can and do shift to digital social media and gaming platforms. XR technologies becoming more mainstream has led to investigations of ethical and technical consequences of these expanded input surfaces. However, there is limited literature that investigates social attacks, particularly towards vulnerable communities, and how AI technologies may accelerate generative attacks-at-scale. This article employs human-centred research methods and a harms-centred Cybersecurity framework to co-design a testbed of socio-technical attack scenarios in XR social gaming platforms. It uses speculative fiction to further extrapolate how these could reach attacks-at-scale by applying generative AI techniques. It develops an Inter-Reality Threat Model to outline how actions in virtual environments can impact on the real-world. As AI capability continues to rapidly develop, this article articulates the urgent need to consider a future where XR-AI attacks-at-scale could become commonplace.",10.1145/3696015,https://doi.org/10.1145/3696015
"Computer Science Curricula 2023 (CS2023): Rising to the Challenges of Change in AI, Security, and Society","Aly, Sherif G. and Becker, Brett A. and Kumar, Amruth N. and Raj, Rajendra K.",Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 2,2024,"Model curricula for baccalaureate computer science (CS) have been published regularly from 1968 through 2013. In early 2021, the ACM, IEEE-Computer Society, and the Association for the Advancement of Artificial Intelligence (AAAI) constituted a task force to revise these curricula, which have now been released as Computer Science 2023 Curricula (CS2023). The CS2023 curricular guidelines inform educators and administrators on the what, why, and how to cover undergraduate CS over the next decade. Like past guidelines, CS2023 provides curricular content - a knowledge model largely backward compatible with CS2013, supplemented by a competency framework influenced by Computing Curricula 2020 (CC2020) - and complementary curricular practices, which include articles by international experts on program design and delivery. Ongoing drafts of CS2023 were disseminated via the CS2023 website, along with regular publications or presentations at various computing education venues.This panel focuses on three among the 17 CS2023 knowledge areas: Society, Ethics, and the Profession (SEP), Artificial Intelligence (AI), and Security (SEC). While the other 14 knowledge areas remain important in CS education, these three have been in the news due to inadequacies in current CS education. The panelists, who served on the CS2023 steering committee, will discuss how CS2023 addresses these challenges. Attendees will appreciate the approach taken by CS2023 toward these three hot-button items of CS education, especially constraints on curriculum design, and how CS2023 may be used to educate the next generation of CS graduates to rise to these three challenges.",10.1145/3649405.3659537,https://doi.org/10.1145/3649405.3659537
Building Critical Statewide Cybersecurity Capabilities: The Wisconsin Model,"Franco, Eric and Yin, Roger and Sankaranarayanan, Balaji",Proceedings of the 25th Annual International Conference on Digital Government Research,2024,"The paper investigates the escalating cybersecurity challenges public-sector organizations face, focusing on the Wisconsin Cyber Response Team (CRT) as a pioneering solution in the U.S. Public entities, vulnerable to resource limitations, confront cyber threats exacerbated by a lack of IT personnel. The Wisconsin CRT, a volunteer-based organization affiliated with Wisconsin Emergency Management, emerges as a unique model, addressing cybersecurity gaps through strategic partnerships with academia and other entities. The essay outlines the CRT's resource-centric approach, encompassing human personnel, infrastructure, and structured collaborations. It sheds light on the state's cybersecurity focus and legislative constraints, emphasizing the CRT's role in bridging these gaps. Detailing the Wisconsin CRT's resources and capabilities, the paper highlights its robust cybersecurity workforce, infrastructure investments, and partnerships. The team's whole community approach, engaging academia through pillars like understanding community complexity and fostering relationships, underscores its comprehensive strategy. The collaboration with the University of Wisconsin-Whitewater exemplifies successful public-academic partnerships, contributing to cybersecurity education, research, and incident response. We conclude by advocating for policymakers to recognize the value of such collaborations, emphasizing the need for sustained efforts to mitigate evolving cyber threats via effective public policies. The Wisconsin CRT stands as a national exemplar, showcasing the effectiveness of innovative partnerships in addressing local cyber challenges.",10.1145/3657054.3657083,https://doi.org/10.1145/3657054.3657083
HWREx: AI-enabled Hardware Weakness and Risk Exploration and Storytelling Framework with LLM-assisted Mitigation Suggestion,"Ghimire, Sujan and Lin, Yu-Zheng and Mamun, Muntasir and Chowdhury, Muhtasim Alam and Alemi, Farhad and Cai, Shuyu and Guo, Jinduo and Zhu, Mingyu and Li, Honghui and Saber Latibari, Banafsheh and Rafatirad, Setareh and Satam, Pratik and Salehi, Soheil",ACM Trans. Des. Autom. Electron. Syst.,2025,"Abstract:The growing complexity of modern computing frameworks has led to an increase in cybersecurity vulnerabilities reported to the National Vulnerability Database (NVD). Extracting meaningful trends from this vast amount of unstructured data is challenging without proper tools and methodologies. Existing approaches lack a holistic strategy for vulnerability mitigation and prediction and effective knowledge extraction from the Common Weakness Enumeration (CWE), Common Vulnerability Exposure (CVE), and Common Attack Pattern Enumeration and Classification (CAPEC) databases. We introduce the AI-enabled Hardware Weakness and Risk Exploration and Storytelling Framework with LLM-assisted Mitigation Suggestion (HWREx), designed to address hardware vulnerabilities and IoT security. Our architecture features an Ontology-driven Storytelling capability that automates ontology updates to track vulnerability patterns and evolution over time, while offering mitigation strategies. It also clarifies the complex interrelations among CVEs, CWEs, and CAPECs through interactive visual knowledge graphs. Our framework achieved accuracy rates of 62% for CWE-CWE, 83% for CWE-CVE, and 77% for CWE-CAPEC linkage predictions. These graphs are instrumental for in-depth hardware weakness analysis and enable HWREx to deliver comprehensive assessments and actionable mitigation strategies. Additionally, HWREx utilizes Generative Pre-trained Transformers (GPT) to offer tailored mitigation suggestions.",10.1145/3737459,https://doi.org/10.1145/3737459
SIGCSE Virtual 2024: Proceedings of the 2024 on ACM Virtual Global Computing Education Conference V. 2,,,2024,"On behalf of SIGCSE Virtual 2024 Steering, Organization, and Program Committees, we would like to welcome you to this wonderful event. SIGCSE Virtual 2024, 1st ACM Virtual Global Computing Education Conference is now a reality after over a year of work by all the committee members. We like to send our special thanks to the SIGCSE Board and ACM for their continued support, encouragement and facilitation.One of the major goals of SIGCSE Virtual is to promote an inclusive and easily accessible conference to all interested in CS education research and practice. The hope is to allow those who are not able to easily travel to SIGCSE conferences to participate virtually from around the world. For this reason, the core of the conference follows all other SIGCSE conferences by providing papers, panels, posters/lightning talks, working groups, and doctoral consortium sessions dedicated to CS education research and practice.The conference has different themes based on the global aspects of CS education while considering regional circumstances. The sessions are offered considering time-zone constraints. The online program adjusts to time zones.Several different activities are provided besides the technical sessions by conference sponsors as well as for social engagements. All these activities are included in the program.",,
SIGCSETS 2025: Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,,,2025,"Welcome to the 56th annual SIGCSE Technical Symposium on Computer Science Education (SIGCSE TS 2025)! For the first time since 1978, our symposium is being held in the",,
SIGITE '24: Proceedings of the 25th Annual Conference on Information Technology Education,,,2024,,,
WCCCE '24: Proceedings of the 26th Western Canadian Conference on Computing Education,,,2024,,,
Software Security Analysis in 2030 and Beyond: A Research Roadmap,B\,ACM Trans. Softw. Eng. Methodol.,2025,"As our lives, our businesses, and indeed our world economy become increasingly reliant on the secure operation of many interconnected software systems, the software engineering research community is faced with unprecedented research challenges, but also with exciting new opportunities. In this roadmap article, we outline our vision of software security analysis for the systems of the future. Given the recent advances in generative AI, we need new methods to assess and maximize the security of code co-written by machines. As our systems become increasingly heterogeneous, we need practical approaches that work even if some functions are automatically generated, e.g., by deep neural networks. As software systems depend evermore on the software supply chain, we need tools that scale to an entire ecosystem. What kind of vulnerabilities exist in future systems and how do we detect them? When all the shallow bugs are found, how do we discover vulnerabilities hidden deeply in the system? Assuming we cannot find all security flaws, how can we nevertheless protect our system? To answer these questions, we start our roadmap with a survey of recent advances in software security, then discuss open challenges and opportunities, and conclude with a long-term perspective for the field.",10.1145/3708533,https://doi.org/10.1145/3708533
