Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
LLM-based collaborative programming: impact on students’ computational thinking and self-efficacy,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04471-1,Yi-Miao YanChuang-Qi ChenYang-Bang HuXin-Dong Ye,2025,https://link.springer.com/article/10.1057/s41599-025-04471-1,Article
On the assessment of generative AI in modeling tasks: an experience report with ChatGPT and UML,Software and Systems Modeling,,,,10.1007/s10270-023-01105-5,Javier CámaraJavier TroyaLola BurgueñoAntonio Vallecillo,2023,https://link.springer.com/article/10.1007/s10270-023-01105-5,Article
Exploring Gen-AI applications in building research and industry: A review,Building Simulation,,,,10.1007/s12273-025-1279-x,Hanlong WanJian ZhangYan ChenWeili XuFan Feng,2025,https://link.springer.com/article/10.1007/s12273-025-1279-x,Article
Pedagogical Applications of Generative AI in Higher Education: A Systematic Review of the Field,TechTrends,,,,10.1007/s11528-025-01100-1,Yufeng Qian,2025,https://link.springer.com/article/10.1007/s11528-025-01100-1,Article
A survey on large language model based autonomous agents,Frontiers of Computer Science,,,,10.1007/s11704-024-40231-1,Lei WangChen MaXueyang FengZeyu ZhangHao YangJingsen ZhangZhiyuan ChenJiakai TangXu ChenYankai LinWayne Xin ZhaoZhewei WeiJirong Wen,2024,https://link.springer.com/article/10.1007/s11704-024-40231-1,Article
Programming education with ChatGPT: outcomes for beginners and intermediate students,Education and Information Technologies,,,,10.1007/s10639-025-13542-4,Jihae SuhKyuhan LeeJaehwan Lee,2025,https://link.springer.com/article/10.1007/s10639-025-13542-4,Article
Assistant Teaching System for&#xa0;Computer Hardware Courses Based on&#xa0;Large Language Model,Computer Science and Education. Computer Science and Technology,,,,10.1007/978-981-97-0730-0_27,Dongdong ZhangQian CaoYuchen GuoLisheng Wang,2024,https://link.springer.com/chapter/10.1007/978-981-97-0730-0_27,Conference paper
The impact of a large language model-based programming learning environment on students’ motivation and programming ability,Education and Information Technologies,,,,10.1007/s10639-024-13107-x,Seongyune ChoiHyeoncheol Kim,2024,https://link.springer.com/article/10.1007/s10639-024-13107-x,Article
Improving Computer Science Curriculum and Teaching in the New Information Age,Frontiers of Digital Education,,,,10.1007/s44366-024-0023-x,John E. HopcroftYao Guo,2024,https://link.springer.com/article/10.1007/s44366-024-0023-x,Article
Leveraging on&#xa0;Generative AI to&#xa0;Teach Undergraduate Software Engineering: A&#xa0;Collaborative Prompt Catalogue,Proceedings of TEEM 2023,,,,10.1007/978-981-97-1814-6_12,Juanan PereiraJuan Miguel LópezMaider AzanzaÓscar DíazXabier Garmendia,2024,https://link.springer.com/chapter/10.1007/978-981-97-1814-6_12,Conference paper
Scenario-Based Learning in&#xa0;Human-Robot Interaction: Embedding User-Centered Design Into Computer Science Education,Social Robotics,,,,10.1007/978-981-96-3522-1_14,Tobias DoernbachReinhard Gerndt,2025,https://link.springer.com/chapter/10.1007/978-981-96-3522-1_14,Conference paper
ChatGPT and Gemini Generated Code to Inform Pedagogy and Policy for First-Time Computer Programming Classes,Futureproofing Engineering Education for Global Responsibility,,,,10.1007/978-3-031-85649-5_41,James Wolfer,2025,https://link.springer.com/chapter/10.1007/978-3-031-85649-5_41,Conference paper
Improving students’ programming performance: an integrated mind mapping and generative AI chatbot learning approach,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04846-4,Xindong YeWenyu ZhangYuxin ZhouXiaozhi LiQiang Zhou,2025,https://link.springer.com/article/10.1057/s41599-025-04846-4,Article
A Scoping Survey of ChatGPT in Mathematics Education,Digital Experiences in Mathematics Education,,,,10.1007/s40751-025-00172-1,Birgit PepinNils BuchholtzUlises Salinas-Hernández,2025,https://link.springer.com/article/10.1007/s40751-025-00172-1,Article
A Qualitative Assessment of&#xa0;ChatGPT Generated Code in&#xa0;the&#xa0;Computer Science Curriculum,"Towards a Hybrid, Flexible and Socially Engaged Higher Education",,,,10.1007/978-3-031-53022-7_5,James Wolfer,2024,https://link.springer.com/chapter/10.1007/978-3-031-53022-7_5,Conference paper
LLM-generated tips rival expert-created tips in helping students answer quantum-computing questions,EPJ Quantum Technology,,,,10.1140/epjqt/s40507-025-00334-5,Lars KruppJonas BleyIsacco GobbiAlexander GengSabine MüllerSungho SuhAli MoghisehArcesio Castaneda MedinaValeria BartschArtur WideraHerwig OttPaul LukowiczJakob KarolusMaximilian Kiefer-Emmanouilidis,2025,https://link.springer.com/article/10.1140/epjqt/s40507-025-00334-5,Article
How to improve ChatGPT performance for nephrologists: a technique guide,Journal of Nephrology,,,,10.1007/s40620-024-01974-z,Jing MiaoCharat ThongprayoonIasmina M. CraiciWisit Cheungpasitporn,2024,https://link.springer.com/article/10.1007/s40620-024-01974-z,Article
Coding with&#xa0;AI: How Are Tools Like ChatGPT Being Used by&#xa0;Students in&#xa0;Foundational Programming Courses,Artificial Intelligence in Education,,,,10.1007/978-3-031-64299-9_20,Aashish GhimireJohn Edwards,2024,https://link.springer.com/chapter/10.1007/978-3-031-64299-9_20,Conference paper
Exploring the&#xa0;Effectiveness of&#xa0;a&#xa0;Multilingual Generative AI Programming Chatbot for&#xa0;Vernacular Medium CS Students,Computing Education Research,,,,10.1007/978-3-031-84391-4_4,Avval HalaniPrajish PrasadAamod Sane,2025,https://link.springer.com/chapter/10.1007/978-3-031-84391-4_4,Conference paper
Survey on AI-Generated Plagiarism Detection: The Impact of Large Language Models on Academic Integrity,Journal of Academic Ethics,,,,10.1007/s10805-024-09576-x,Shushanta PudasainiLuis Miralles-PechuánDavid LillisMarisa Llorens Salvador,2024,https://link.springer.com/article/10.1007/s10805-024-09576-x,Article
Supporting Bachelor Thesis Management in Computer Science: A Comparative Study of Large Language Models in Academic Advising,Innovation and Technologies for the Digital Transformation of Education,,,,10.1007/978-981-97-2468-0_2,Juanan PereiraJuan-Miguel López-GilXabier GarmendiaMaider Azanza,2024,https://link.springer.com/chapter/10.1007/978-981-97-2468-0_2,Chapter
Fundamental Study of Empirical Experiments with New Institutional Research (IR) Practitioners Using Large Language Models (LLM) Such as ChatGPT,Proceedings of Ninth International Congress on Information and Communication Technology,,,,10.1007/978-981-97-5035-1_42,Masayuki SekiIkuhiro NodaMsato OmoriTomoyuki SakaiKatsuhiko MurakamiKunihiko Takamatsu,2025,https://link.springer.com/chapter/10.1007/978-981-97-5035-1_42,Conference paper
Integrity in&#xa0;the&#xa0;AI Era: Collaborative Solutions for&#xa0;Programming Education,Agents and Artificial Intelligence,,,,10.1007/978-3-031-87330-0_10,Rina AzoulayTirza HirstShulamit Reches,2025,https://link.springer.com/chapter/10.1007/978-3-031-87330-0_10,Conference paper
From GPT-3 to&#xa0;GPT-4: On the&#xa0;Evolving Efficacy of&#xa0;LLMs to&#xa0;Answer Multiple-Choice Questions for&#xa0;Programming Classes in&#xa0;Higher Education,Computer Supported Education,,,,10.1007/978-3-031-53656-4_8,Jaromir SavelkaArav AgarwalChristopher BogartMajd Sakr,2024,https://link.springer.com/chapter/10.1007/978-3-031-53656-4_8,Conference paper
"Investigating students’ programming behaviors, interaction qualities and perceptions through prompt-based learning in ChatGPT",Humanities and Social Sciences Communications,,,,10.1057/s41599-024-03991-6,Dan SunAzzeddine BoudouaiaJunfeng YangJie Xu,2024,https://link.springer.com/article/10.1057/s41599-024-03991-6,Article
Enhancing Programming Education with&#xa0;ChatGPT: A Case Study on&#xa0;Student Perceptions and&#xa0;Interactions in&#xa0;a&#xa0;Python Course,"Artificial Intelligence in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners, Doctoral Consortium and Blue Sky",,,,10.1007/978-3-031-64315-6_9,Boxuan MaLi ChenShin’ichi Konomi,2024,https://link.springer.com/chapter/10.1007/978-3-031-64315-6_9,Conference paper
Multimodal Programming in Computer Science with Interactive Assistance Powered by Large Language Model,Human-Computer Interaction,,,,10.1007/978-3-031-93864-1_5,Rajan Das GuptaMd. Tanzib HosainM. F. MridhaSalah Uddin Ahmed,2025,https://link.springer.com/chapter/10.1007/978-3-031-93864-1_5,Conference paper
Digital Enhancement: Applying Generative AI in Students Decision Making Process,"Digital Technologies and Transformation in Business, Industry and Organizations",,,,10.1007/978-3-031-78412-5_7,Catarina Alexandra Azevedo CabralRuben Pereira,2025,https://link.springer.com/chapter/10.1007/978-3-031-78412-5_7,Chapter
Enhancing Python Learning Through Retrieval-Augmented Generation: A Theoretical and Applied Innovation in Generative AI Education,Innovative Technologies and Learning,,,,10.1007/978-3-031-65884-6_17,Hsing-Tzu KoYen-Ku LiuYun-Cheng TsaiSummit Suen,2024,https://link.springer.com/chapter/10.1007/978-3-031-65884-6_17,Conference paper
Impact of generative AI dialogic feedback on different stages of programming problem solving,Education and Information Technologies,,,,10.1007/s10639-024-13173-1,Xin GongZhixia LiAiling Qiao,2024,https://link.springer.com/article/10.1007/s10639-024-13173-1,Article
Business and Ethical Concerns in Domestic Conversational Generative AI-Empowered Multi-robot Systems,Software Business,,,,10.1007/978-3-031-53227-6_13,Rebekah RousiHooman SamaniNiko MäkitaloVille VakkuriSimo LinkolaKai-Kristian KemellPaulius DaubarisIlenia FronzaTommi MikkonenPekka Abrahamsson,2024,https://link.springer.com/chapter/10.1007/978-3-031-53227-6_13,Conference paper
An Efficient Mental Healthcare Chatbot Using Reprogramming Transformer Model Based on a Fine-Tuned GPT-2,Data Processing and Networking,,,,10.1007/978-981-96-3102-5_5,Hiba Malik MohssenHayder H. Safi,2025,https://link.springer.com/chapter/10.1007/978-981-96-3102-5_5,Conference paper
Instruction Tuning with&#xa0;LLMs for&#xa0;Programming Exercise Generation,Web Information Systems and Applications,,,,10.1007/978-981-97-7707-5_31,Guolong ZengQinchen XueXuesong Lu,2024,https://link.springer.com/chapter/10.1007/978-981-97-7707-5_31,Conference paper
AI in the classroom: Exploring students’ interaction with ChatGPT in programming learning,Education and Information Technologies,,,,10.1007/s10639-025-13337-7,Hacer GünerErkan Er,2025,https://link.springer.com/article/10.1007/s10639-025-13337-7,Article
Development of an automatic and knowledge-infused framework for structural health monitoring based on prompt engineering,Frontiers of Structural and Civil Engineering,,,,10.1007/s11709-024-1118-7,Truong-Thang NguyenViet-Hung DangThanh-Tung Pham,2024,https://link.springer.com/article/10.1007/s11709-024-1118-7,Article
"The Death of the Legal Author: Authority, Intention, and Law-Creation in the Advent of GenAI",Law and Philosophy,,,,10.1007/s10982-025-09524-9,Julieta A. RabanosBojan Spaić,2025,https://link.springer.com/article/10.1007/s10982-025-09524-9,Article
Future of Education with Neuro-Symbolic AI Agents in Self-Improving Adaptive Instructional Systems,Frontiers of Digital Education,,,,10.1007/s44366-024-0008-9,Richard Jiarui TongXiangen Hu,2024,https://link.springer.com/article/10.1007/s44366-024-0008-9,Article
ComPAT: A Compiler Principles Course Assistant,"Knowledge Science, Engineering and Management",,,,10.1007/978-981-97-5489-2_7,Shubin CaiHonglong ChenYouyi HuangZhong Ming,2024,https://link.springer.com/chapter/10.1007/978-981-97-5489-2_7,Conference paper
Exploratory Test-Driven Development Study with&#xa0;ChatGPT in&#xa0;Different Scenarios,Agile Processes in Software Engineering and Extreme Programming,,,,10.1007/978-3-031-94544-1_10,Juliano Cesar PancherJorge MelegatiEduardo Martins Guerra,2025,https://link.springer.com/chapter/10.1007/978-3-031-94544-1_10,Conference paper
"Leveraging AI to Advance Science and&#xa0;Computing Education Across Africa: Challenges, Progress and Opportunities",Artificial Intelligence in Education: The Intersection of Technology and Pedagogy,,,,10.1007/978-3-031-71232-6_10,George Boateng,2024,https://link.springer.com/chapter/10.1007/978-3-031-71232-6_10,Chapter
EduFuncSum: a function-wise progressive transformer for code summarization in undergraduate programming education,"Journal of King Saud University Computer and Information Sciences ",,,,10.1007/s44443-025-00075-6,Yi RongManping XuRoubing LiLin XinWenting Bao,2025,https://link.springer.com/article/10.1007/s44443-025-00075-6,Article
Developing a GPT Chatbot Model for Students Programming Education,Smart Technologies for a Sustainable Future,,,,10.1007/978-3-031-61905-2_8,Horia Alexandru ModranDoru UrsuțiuCornel SamoilăElena-Cătălina Gherman-Dolhăscu,2024,https://link.springer.com/chapter/10.1007/978-3-031-61905-2_8,Conference paper
Generating Situated Reflection Triggers About Alternative Solution Paths: A Case Study of&#xa0;Generative AI for&#xa0;Computer-Supported Collaborative Learning,Artificial Intelligence in Education,,,,10.1007/978-3-031-64302-6_4,Atharva NaikJessica Ruhan YinAnusha KamathQianou MaSherry Tongshuang WuCharles MurrayChristopher BogartMajd SakrCarolyn P. Rose,2024,https://link.springer.com/chapter/10.1007/978-3-031-64302-6_4,Conference paper
Using labels to limit AI misuse in health,Nature Computational Science,,,,10.1038/s43588-024-00676-7,Elaine O. NsoesieMarzyeh Ghassemi,2024,https://link.springer.com/article/10.1038/s43588-024-00676-7,Article
Exploring the&#xa0;Role of&#xa0;Large Language Models in&#xa0;Evaluating Argumentative Writing in&#xa0;Military School Education,Agents and Artificial Intelligence,,,,10.1007/978-3-031-87330-0_15,Daisy Cristine Albuquerque da SilvaCarlos Eduardo de MelloAna Cristina Bicharra Garcia,2025,https://link.springer.com/chapter/10.1007/978-3-031-87330-0_15,Conference paper
HinglishEval: Evaluating the&#xa0;Effectiveness of&#xa0;Code-Generation Models on&#xa0;Hinglish Prompts,Computing Education Research,,,,10.1007/978-3-031-84391-4_2,Mrigank PawagiAnirudh GuptaSiddharth Reddy RollaKintan Saha,2025,https://link.springer.com/chapter/10.1007/978-3-031-84391-4_2,Conference paper
Possible Applications of ChatGPT in Higher Education,Proceedings of TEEM 2023,,,,10.1007/978-981-97-1814-6_13,Stanojević JelicaMinović MiroslavŠošević Uroš,2024,https://link.springer.com/chapter/10.1007/978-981-97-1814-6_13,Conference paper
The Impact of ChatGPT on Students’ Learning Programming Languages,Learning and Collaboration Technologies,,,,10.1007/978-3-031-61691-4_14,Itzhak AvivMoshe LeibaHavana RikaYogev Shani,2024,https://link.springer.com/chapter/10.1007/978-3-031-61691-4_14,Conference paper
How We Code Code: Leveraging GPT and Ordered Networks for Understanding Introductory Programming Education,Advances in Quantitative Ethnography,,,,10.1007/978-3-031-76332-8_19,Maciej PankiewiczAndres Felipe ZambranoAmanda BaranyRyan S. Baker,2024,https://link.springer.com/chapter/10.1007/978-3-031-76332-8_19,Conference paper
A Field Study on the Use of Gen AI to Support Computing Education,Augmented Cognition,,,,10.1007/978-3-031-93724-8_17,Arnel OcayMaria Mercedes Rodrigo,2025,https://link.springer.com/chapter/10.1007/978-3-031-93724-8_17,Conference paper
Programming Examination Platform: Generative AI-Driven Evaluation Tool for&#xa0;Computer Programming Classes,Futureproofing Engineering Education for Global Responsibility,,,,10.1007/978-3-031-83520-9_33,Fabian Pavel VeliceaAlexandra Elena GhimbăṣanRăzvan Costin FilipGabriel Mihail DanciuCsaba Zoltán Kertész,2025,https://link.springer.com/chapter/10.1007/978-3-031-83520-9_33,Conference paper
Code Comprehension Problems in&#xa0;Introductory Programming to&#xa0;Overcome ChatGPT,Novel and Intelligent Digital Systems: Proceedings of the 4th International Conference (NiDS 2024),,,,10.1007/978-3-031-73344-4_50,Frances Ysabelle RebollidoJaime Caro,2024,https://link.springer.com/chapter/10.1007/978-3-031-73344-4_50,Conference paper
Predicting Learning Performance with&#xa0;Large Language Models: A Study in&#xa0;Adult Literacy,Adaptive Instructional Systems,,,,10.1007/978-3-031-60609-0_24,Liang ZhangJionghao LinConrad BorchersJohn SabatiniJohn HollanderMeng CaoXiangen Hu,2024,https://link.springer.com/chapter/10.1007/978-3-031-60609-0_24,Conference paper
From Programming to Prompting: Developing Computational Thinking through Large Language Model-Based Generative Artificial Intelligence,TechTrends,,,,10.1007/s11528-025-01052-6,Hsiao-Ping Hsu,2025,https://link.springer.com/article/10.1007/s11528-025-01052-6,Article
A survey of safety and trustworthiness of large language models through the lens of verification and validation,Artificial Intelligence Review,,,,10.1007/s10462-024-10824-0,Xiaowei HuangWenjie RuanWei HuangGaojie JinYi DongChangshun WuSaddek BensalemRonghui MuYi QiXingyu ZhaoKaiwen CaiYanghao ZhangSihao WuPeipei XuDengyu WuAndre FreitasMustafa A. Mustafa,2024,https://link.springer.com/article/10.1007/s10462-024-10824-0,Article
Service-Oriented Architecture: Learning with&#xa0;Generative AI and&#xa0;AWS,Computational Science – ICCS 2025 Workshops,,,,10.1007/978-3-031-97573-8_24,Marcela Castro LeónDolores RexachsEmilio Luque,2025,https://link.springer.com/chapter/10.1007/978-3-031-97573-8_24,Conference paper
On opportunities and challenges of large multimodal foundation models in education,npj Science of Learning,,,,10.1038/s41539-025-00301-w,Stefan KüchemannKarina E. AvilaYavuz DincChiara HortmannNatalia RevengaVerena RufNiklas StausbergSteffen SteinertFrank FischerMartin FischerEnkelejda KasneciGjergji KasneciThomas KuhrGitta KutyniokSarah MaloneMichael SailerAlbrecht SchmidtMatthias StadlerJochen WellerJochen Kuhn,2025,https://link.springer.com/article/10.1038/s41539-025-00301-w,Article
Integrating LLM-based code optimization with human-like exclusionary reasoning for computational education,"Journal of King Saud University Computer and Information Sciences ",,,,10.1007/s44443-025-00074-7,Yi RongTianfeng DuRoubing LiWenting Bao,2025,https://link.springer.com/article/10.1007/s44443-025-00074-7,Article
Using ChatGPT for medical education: the technical perspective,BMC Medical Education,,,,10.1186/s12909-025-06785-9,Kwan Yin ChanTsz Hon YuenMichael Co,2025,https://link.springer.com/article/10.1186/s12909-025-06785-9,Article
"Applications, Challenges and Early Assessment of AI and ChatGPT in Education",Breaking Barriers with Generative Intelligence. Using GI to Improve Human Education and Well-Being,,,,10.1007/978-3-031-65996-6_1,Dimitrios SidiropoulosChristos-Nikolaos Anagnostopoulos,2024,https://link.springer.com/chapter/10.1007/978-3-031-65996-6_1,Conference paper
A Study of&#xa0;LLM Generated Line-by-Line Explanations in&#xa0;the&#xa0;Context of&#xa0;Conversational Program Comprehension Tutoring Systems,Technology Enhanced Learning for Inclusive and Equitable Quality Education,,,,10.1007/978-3-031-72315-5_5,Jeevan ChapagainMahmudul Islam SajibRadu ProdanVasile Rus,2024,https://link.springer.com/chapter/10.1007/978-3-031-72315-5_5,Conference paper
Digital Banking Transformation: LLMs in Customer Service and Fraud Detection,Bio-Inspired Computing,,,,10.1007/978-3-031-78940-3_20,R. ManojK. BoobeshA. Peter RajanT. P. Saravanan,2025,https://link.springer.com/chapter/10.1007/978-3-031-78940-3_20,Conference paper
Specializations in Software Engineering Education,Frontiers in Software Engineering Education,,,,10.1007/978-3-031-48639-5_1,Anthony I. (Tony) Wasserman,2023,https://link.springer.com/chapter/10.1007/978-3-031-48639-5_1,Conference paper
"Modern artificial intelligence and large language models in graduate medical education: a scoping review of attitudes, applications &amp; practice",BMC Medical Education,,,,10.1186/s12909-025-07321-5,Basil George VergheseCharoo IyerTanvi BorseShiamak CooperJacob WhiteRyan Sheehy,2025,https://link.springer.com/article/10.1186/s12909-025-07321-5,Article
Programming education across disciplines: a nationwide study of Danish higher education,Higher Education,,,,10.1007/s10734-024-01345-4,Sebastian Mateos NicolajsenSofie NielsenLouise Meier CarlsenClaus Brabrand,2024,https://link.springer.com/article/10.1007/s10734-024-01345-4,Article
Programming Learning Through the Use of ChatGPT,Computer Aided Systems Theory – EUROCAST 2024,,,,10.1007/978-3-031-82949-9_33,Ami OtsukaAkira SasakiAtsushi Ito,2025,https://link.springer.com/chapter/10.1007/978-3-031-82949-9_33,Conference paper
"Unveiling the landscape of generative artificial intelligence in education: a comprehensive taxonomy of applications, challenges, and future prospects",Education and Information Technologies,,,,10.1007/s10639-024-12936-0,Agariadne Dwinggo SamalaSoha RawasTianchong WangJanet Marie ReedJinhee KimNatalie-Jane HowardMyriam Ertz,2024,https://link.springer.com/article/10.1007/s10639-024-12936-0,Article
Large language models and the problem of rhetorical debt,AI & SOCIETY,,,,10.1007/s00146-025-02403-w,Marit MacArthur,2025,https://link.springer.com/article/10.1007/s00146-025-02403-w,Article
Using LLM-Based Filtering to&#xa0;Develop Reliable Coding Schemes for&#xa0;Rare Debugging Strategies,Advances in Quantitative Ethnography,,,,10.1007/978-3-031-76335-9_10,Aysa Xuemo FanQianhui LiuLuc PaquetteJuan Pinto,2024,https://link.springer.com/chapter/10.1007/978-3-031-76335-9_10,Conference paper
Questions for GenAI: Integrity During the Preparation and Assessment of Educational Tasks,"Artificial Intelligence, Pedagogy and Academic Integrity",,,,10.1007/978-3-031-92534-4_8,Artem ArtyukhovOleksandr Khyzhniak,2025,https://link.springer.com/chapter/10.1007/978-3-031-92534-4_8,Chapter
Latest Achievements on the Application of AI in Stem Education,"New Technologies, Development and Application VIII",,,,10.1007/978-3-031-95200-5_33,Amra Bratovcic,2025,https://link.springer.com/chapter/10.1007/978-3-031-95200-5_33,Conference paper
Interactive Online Education Using LLMs: Foundations and&#xa0;Applications,Artificial Intelligence in Education Technologies: New Development and Innovative Practices,,,,10.1007/978-981-97-9255-9_1,Zhilong XieJiwen HuangRong XingQing Li,2025,https://link.springer.com/chapter/10.1007/978-981-97-9255-9_1,Conference paper
CSEPrompts: A Benchmark of&#xa0;Introductory Computer Science Prompts,Foundations of Intelligent Systems,,,,10.1007/978-3-031-62700-2_5,Nishat RaihanDhiman GoswamiSadiya Sayara Chowdhury PuspoChristian NewmanTharindu RanasingheMarcos Zampieri,2024,https://link.springer.com/chapter/10.1007/978-3-031-62700-2_5,Conference paper
MedQAS: A Medical Question Answering System Based on Finetuning Large Language Models,"Future Data and Security Engineering. Big Data, Security and Privacy, Smart City and Industry 4.0 Applications",,,,10.1007/978-981-96-0434-0_21,Bao Thai DuongThai Hoang Le,2024,https://link.springer.com/chapter/10.1007/978-981-96-0434-0_21,Conference paper
How to&#xa0;Teach Programming in&#xa0;the&#xa0;AI Era? Using LLMs as&#xa0;a&#xa0;Teachable Agent for&#xa0;Debugging,Artificial Intelligence in Education,,,,10.1007/978-3-031-64302-6_19,Qianou MaHua ShenKenneth KoedingerSherry Tongshuang Wu,2024,https://link.springer.com/chapter/10.1007/978-3-031-64302-6_19,Conference paper
Assessment Design Before and After the Emergence of Generative AI,17th WCEAM Proceedings,,,,10.1007/978-3-031-59042-9_12,Quang Ngoc TranThanh Nguyen NgocThanh PhamAnna FelipeTom HuynhQuang Nhat Tran,2024,https://link.springer.com/chapter/10.1007/978-3-031-59042-9_12,Conference paper
"Integrating Generative AI in Education: Themes, Challenges, and Future Directions",Generative Artificial Intelligence (AI) Approaches for Industrial Applications,,,,10.1007/978-3-031-76710-4_8,Eriona ÇelaAlexey VedishchevMathias FonkamPhilip EappenRajasekhara Mouly PotluriNarasimha Rao Vajjhala,2025,https://link.springer.com/chapter/10.1007/978-3-031-76710-4_8,Chapter
A Picture Is Worth a&#xa0;Thousand Words: Exploring Diagram and&#xa0;Video-Based OOP Exercises to&#xa0;Counter LLM Over-Reliance,Technology Enhanced Learning for Inclusive and Equitable Quality Education,,,,10.1007/978-3-031-72315-5_6,Bruno Pereira CiprianoPedro AlvesPaul Denny,2024,https://link.springer.com/chapter/10.1007/978-3-031-72315-5_6,Conference paper
Assessing ChatGPT’s Proficiency in&#xa0;CS1-Level Problem Solving,Advances in Computing,,,,10.1007/978-3-031-47372-2_7,Mario SánchezAndrea Herrera,2024,https://link.springer.com/chapter/10.1007/978-3-031-47372-2_7,Conference paper
Bridging the&#xa0;Programming Skill Gap with&#xa0;ChatGPT: A Machine Learning Project with&#xa0;Business Students,Artificial Intelligence. ECAI 2023 International Workshops,,,,10.1007/978-3-031-50485-3_42,Michael ReicheJochen L. Leidner,2024,https://link.springer.com/chapter/10.1007/978-3-031-50485-3_42,Conference paper
