Document Title,Authors,Publication Title,Publication Year,Abstract,DOI,PDF Link
"Open Source Language Models Can Provide Feedback: Evaluating LLMs'
   Ability to Help Students Using GPT-4-As-A-Judge","Koutcheme, Charles and Dainese, Nicola and Sarsa, Sami and Hellas, Arto
   and Leinonen, Juho and Denny, Paul","PROCEEDINGS OF THE 2024 CONFERENCE INNOVATION AND TECHNOLOGY IN COMPUTER
   SCIENCE EDUCATION, VOL 1, ITICSE 2024",2024,"Large language models (LLMs) have shown great potential for the
   automatic generation of feedback in a wide range of computing contexts.
   However, concerns have been voiced around the privacy and ethical
   implications of sending student work to proprietary models. This has
   sparked considerable interest in the use of open source LLMs in
   education, but the quality of the feedback that such open models can
   produce remains understudied. This is a concern as providing flawed or
   misleading generated feedback could be detrimental to student learning.
   Inspired by recent work that has utilised very powerful LLMs, such as
   GPT-4, to evaluate the outputs produced by less powerful models, we
   conduct an automated analysis of the quality of the feedback produced by
   several open source models using a dataset from an introductory
   programming course. First, we investigate the viability of employing
   GPT-4 as an automated evaluator by comparing its evaluations with those
   of a human expert. We observe that GPT-4 demonstrates a bias toward
   positively rating feedback while exhibiting moderate agreement with
   human raters, showcasing its potential as a feedback evaluator. Second,
   we explore the quality of feedback generated by several leading
   open-source LLMs by using GPT-4 to evaluate the feedback. We find that
   some models offer competitive performance with popular proprietary LLMs,
   such as ChatGPT, indicating opportunities for their responsible use in
   educational settings.",10.1145/3649217.3653612,
"A Comparative Study of AI-Generated (GPT-4) and Human-crafted MCQs in
   Programming Education","Doughty, Jacob and Wan, Zipiao and Bompelli, Anishka and Qayum, Jubahed
   and Wang, Taozhi and Zhang, Juran and Zheng, Yujia and Doyle, Aidan and
   Sridhar, Pragnya and Agarwal, Arav and Bogart, Christopher and Keylor,
   Eric and Kultur, Can and Savelka, Jaromir and Sakr, Majd","PROCEEDINGS OF THE 26TH AUSTRALASIAN COMPUTING EDUCATION CONFERENCE, ACE
   2024",2024,"There is a constant need for educators to develop and maintain effective
   up-to-date assessments. While there is a growing body of research in
   computing education on utilizing large language models (LLMs) in
   generation and engagement with coding exercises, the use of LLMs for
   generating programming MCQs has not been extensively explored. We
   analyzed the capability of GPT-4 to produce multiple-choice questions
   (MCQs) aligned with specific learning objectives (LOs) from Python
   programming classes in higher education. Specifically, we developed an
   LLM-powered (GPT-4) system for generation of MCQs from high-level course
   context and module-level LOs. We evaluated 651 LLM-generated and 449
   human-crafted MCQs aligned to 246 LOs from 6 Python courses. We found
   that GPT-4 was capable of producing MCQs with clear language, a single
   correct choice, and high-quality distractors. We also observed that the
   generated MCQs appeared to be wellaligned with the LOs. Our findings can
   be leveraged by educators wishing to take advantage of the
   state-of-the-art generative models to support MCQ authoring efforts.",10.1145/3636243.3636256,
"Risk management strategy for generative AI in computing education: how
   to handle the strengths, weaknesses, opportunities, and threats?","Humble, Niklas",INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION,2024,"The idea of Artificial intelligence (AI) has a long history in both
   research and fiction and has been applied in educational settings since
   the 1970s. However, the topic of AI underwent a huge increase of
   interest with the release of ChatGPT in late 2022, and more people were
   talking about generative AI (GenAI or GAI). According to some estimates,
   the number of publications on generative AI increased with 2269.49\%
   between 2022 and 2023, and the increase was even higher when related to
   computing education. The aim of this study is to investigate the
   potential strengths, weaknesses, opportunities, and threats of
   generative AI in computing education, as highlighted by research
   published after the release of ChatGPT. The study applied a scoping
   literature review approach with a three-step process for identifying and
   including a total of 129 relevant research papers, published in 2023 and
   2024, through the Web of Science and Scopus databases. Included papers
   were then analyzed with a theoretical thematic analysis, supported by
   the SWOT analysis framework, to identify themes of strengths,
   weaknesses, opportunities, and threats with generative AI for computing
   education. A total of 19 themes were identified through the analysis.
   Findings of the study have both theoretical and practical implications
   for computing education specifically, and higher education in general.
   Findings highlights several challenges posed by generative AI, such as
   potential biases, overreliance, and loss of skills; but also several
   possibilities, such as increasing motivation, educational
   transformation, and supporting teaching and learning. The study expands
   the traditional SWOT analysis, by providing a risk management strategy
   for handling the strengths, weaknesses, opportunities, and threats of
   generative AI.",10.1186/s41239-024-00494-x,
"A Bibliometric Exposition and Review on Leveraging LLMs for Programming
   Education","Amos, Joanah Pwanedo and Amodu, Oluwatosin Ahmed and Mahmood, Raja
   Azlina Raja and Abdulqudus, Akanbi Bolakale and Zakaria, Anies Faziehan
   and Iyanda, Abimbola Rhoda and Bukar, Umar Ali and Mohd Hanapi, Zurina",IEEE ACCESS,2025,"The world is experiencing an AI revolution, with large language models
   (LLMs) transforming various industries, including education. Academics
   are striving to harness the potential of LLMs while also contending with
   their risks. This paper presents the first bibliometric analysis focused
   on LLM research in programming education, identifying leading countries,
   authors, and institutions while analyzing key terms and popular keywords
   in this field. Additionally, it highlights influential studies on topics
   such as introductory programming, computer science, computing,
   programming education, and prompt engineering, discussing key insights
   from these works. Findings indicate that LLMs could play a significant
   role in programming education and may be integrated into computer
   science curricula. However, careful consideration is needed to ensure
   their benefits outweigh their risks across various use cases. This study
   specifically examines ChatGPT as a representative LLM, exploring its
   benefits and limitations as both a learning aid for students and a
   support tool for professionals. It also evaluates the quality of
   ChatGPT-generated code and its effectiveness in simplifying programming
   concepts for beginners. Furthermore, the ethical implications of
   increasing reliance on LLMs for programming tasks, including concerns
   about dependency, plagiarism, and potential effects on critical
   thinking, are addressed. By contributing to the ongoing discourse on
   integrating AI tools like ChatGPT in programming education, this
   research emphasizes the importance of responsible and ethical usage to
   maximize benefits for students, educators, and the broader educational
   community.",10.1109/ACCESS.2025.3554627,
"Cognitive dissonance in programming education: A qualitative exploration
   of the impact of generative AI on application-directed learning","Dawson, Mark G. and Deer, Rowan and Boguslawski, Samuel",COMPUTERS IN HUMAN BEHAVIOR REPORTS,2025,"Generative AI tools, powered by Large Language Models (LLMs), are
   already being extensively used by students to support their learning and
   it is important that educators understand what this might mean for
   higher education practice. In this study, two researchers external to
   the faculty teaching team conducted in-depth interviews with 12 students
   in a small European university of applied sciences who have recently
   undertaken programming learning as part of their undergraduate studies.
   The aim was to explore how these students were using LLMs to support
   their learning and their perceptions of its value as a learning tool. A
   thematic analysis of the resulting qualitative data revealed trends in
   the perceived advantages and disadvantages of using LLMs, as well as
   different levels of LLM usage, with more cautious use associated with a
   `meaning-directed' approach to learning (learning pattern) and more
   enthusiastic and unrestrained use with `application-directed' patterns
   of study. A tension was observed between some application-directed
   learners' high use of LLMs and their recognition that this is not
   optimal for effective learning. The authors argue that Cognitive
   Dissonance Theory (CDT) can explain how this dissonance may motivate
   learners toward a dissonance-reducing attitude or behavior change. The
   conclusion reflects on the implications for teaching practice and offers
   some recommendations for how educators can increase metacognition,
   instrumentalize CDT to increase self-regulation, and facilitate
   meaning-directed learning patterns in the age of generative AI.",10.1016/j.chbr.2025.100724,
"Exploring the Adoption of Generative AI Tools in Computer Science
   Education: A Student Survey","Schefer-Wenzl, Sigrid and Vogl, Christoph and Peiris, Sahani and
   Miladinovic, Igor","PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON EDUCATION TECHNOLOGY
   AND COMPUTERS, ICETC 2024",2024,"The integration of generative AI tools into education has the potential
   to revolutionize learning experiences, particularly in computer science.
   This paper explores the adoption and utilization of generative AI tools
   among computer science students at the University of Applied Sciences
   Campus Vienna in Austria through a comprehensive survey. The study aims
   to understand the extent to which AI tools like ChatGPT are integrated
   into students' academic routines, their perceptions of these tools, and
   the challenges and opportunities they present. The survey results
   indicate a high level of acceptance and frequent use of AI tools for
   tasks such as programming, exam preparation, and generating simplified
   explanations. However, concerns about the accuracy of AI-generated
   content and the potential impact on critical thinking skills were also
   highlighted. The findings underscore the need for clear institutional
   guidelines and ethical considerations in the use of AI tools in
   education. This paper contributes to the growing body of literature on
   AI in education and provides insights for educators and policymakers to
   enhance the responsible integration of AI technologies in computer
   science curricula.",10.1145/3702163.3702188,
"The Effects of Generative AI on Computing Students' Help-Seeking
   Preferences","Hou, Irene and Mettille, Sophia and Li, Zhuo and Man, Owen and Zastudil,
   Cynthia and MacNeil, Stephen","PROCEEDINGS OF THE 26TH AUSTRALASIAN COMPUTING EDUCATION CONFERENCE, ACE
   2024",2024,"Help-seeking is a critical way that students learn new concepts, acquire
   new skills, and get unstuck when problem-solving in their computing
   courses. The recent proliferation of generative AI tools, such as
   ChatGPT, offers students a new source of help that is always available
   on-demand. However, it is unclear how this new resource compares to
   existing help-seeking resources along dimensions of perceived quality,
   latency, and trustworthiness. In this paper, we investigate the
   help-seeking preferences and experiences of computing students now that
   generative AI tools are available to them. We collected survey data
   (n=47) and conducted interviews (n=8) with computing students. Our
   results suggest that although these models are being rapidly adopted,
   they have not yet fully eclipsed traditional help resources. The
   help-seeking resources that students rely on continue to vary depending
   on the task and other factors. Finally, we observed preliminary evidence
   about how help-seeking with generative AI is a skill that needs to be
   developed, with disproportionate benefits for those who are better able
   to harness the capabilities of LLMs. We discuss potential implications
   for integrating generative AI into computing classrooms and the future
   of help-seeking in the era of generative AI.",10.1145/3636243.3636248,
Generative AI in CS Education: Literature Review through a SWOT Lens,"Roberts, Jordan and Mohamed, Abdallah","PROCEEDINGS OF THE 26TH WESTERN CANADIAN CONFERENCE ON COMPUTING
   EDUCATION, WCCCE 2024",2024,"The rapid growth of generative artificial intelligence (AI) models
   introduced challenges for educators, students and administrators across
   the academic sphere related to how to manage and regulate these tools.
   While some oppose their use, many researchers have begun to approach the
   topic of educational AI use from a different perspective. Despite being
   in its early stages; this field of research has produced notable
   insights into the capabilities and limitations of models like ChatGPT.
   This paper utilizes a SWOT analysis frame-work to analyze and
   consolidate existing literature, with a specific focus on Computer
   Science education. Through the analysis of this literature, we have
   created a set of use cases and guidelines to aid in the future
   development of strategies and tools within this field. Our findings
   indicate that while some concerns are valid, such as AI's ability to
   generate plagiarized work, we identified several promising avenues and
   opportunities for careful integration of this technology into education.",10.1145/3660650.3660657,
"Generative AI in Model-Driven Software Engineering Education: Friend or
   Foe?","Morales, Sergio and Planas, Elena and Clariso, Robert and Gogolla,
   Martin","2023 ACM/IEEE INTERNATIONAL CONFERENCE ON MODEL DRIVEN ENGINEERING
   LANGUAGES AND SYSTEMS COMPANION, MODELS-C",2023,"The availability and effectiveness of generative AI tools challenge the
   currently established methods for learning, teaching and assessment. In
   this paper, we discuss their potential impact for model-driven software
   engineering education, both from the point of view of educators and
   students. The discussion highlights several opportunities and risks,
   which support the need of a critical perspective in the application of
   these tools.",10.1109/MODELS-C59198.2023.00034,
"Programming education with ChatGPT: outcomes for beginners and
   intermediate students","Suh, Jihae and Lee, Kyuhan and Lee, Jaehwan",EDUCATION AND INFORMATION TECHNOLOGIES,2025,"Artificial Intelligence (AI) has rapidly emerged as a powerful tool with
   the potential to enhance learning environments. However, effective use
   of new technologies in education requires a good understanding of the
   technology and good design for its use. Generative AI such as ChatGPT
   requires particularly well-designed instructions due to its ease of use
   in asking and answering questions using natural language. This study
   investigates the effectiveness of ChatGPT in assisting the learning
   process of university students enrolled in Python programming courses.
   The primary question addressed is how differently the use of ChatGPT
   affects two groups at different levels of programming
   proficiency-beginners and intermediate. The study compares the impact of
   ChatGPT on academic performance between these two groups. The results
   show that for beginners, ChatGPT did not significantly contribute to
   improved learning outcomes. In addition, a survey was conducted to
   explore students'perceptions of the benefits and challenges of using
   ChatGPT, which revealed differences in responses between the two groups
   of learners. This research provides valuable insights into the potential
   applications of AI tools in educational settings, particularly in the
   context of programming education.",10.1007/s10639-025-13542-4,
"Teaching and learning computer programming using ChatGPT: A rapid review
   of literature amid the rise of generative AI technologies","Garcia, Manuel B.",EDUCATION AND INFORMATION TECHNOLOGIES,2025,"The emergence of generative AI tools like ChatGPT has sparked
   investigations into their applications in teaching and learning. In
   computer programming education, efforts are underway to explore how this
   tool can enhance instructional practices. Despite the growing
   literature, there is a lack of synthesis on its use in this field. This
   rapid review addresses this gap by examining the current literature to
   outline research trends, assess how it supports teaching and learning
   processes, and discern the issues that emerge from its application in
   programming instruction. A total of 107 documents disseminated across 81
   distinct sources and authored by 394 contributors were identified. The
   review adopted a broad and inclusive approach, selecting literature
   based on relevance to ChatGPT's application in programming education and
   encompassing studies from diverse settings and methodologies. Results
   highlight applications such as personalized tutoring, knowledge
   reinforcement, instructional material creation, source code generation,
   immediate feedback, and assessment support. However, its use also
   introduces challenges such as academic dishonesty, ethical dilemmas,
   diminished critical thinking, overdependence on ChatGPT, and various
   technical limitations. Considering these findings, a balanced approach
   to the utilization of ChatGPT in programming education is essential.
   Implications and recommendations have been provided to guide
   policymakers, curriculum designers, teachers, and students in harnessing
   the benefits of this technology while mitigating potential challenges.",10.1007/s10639-025-13452-5,
"PerVRML: ChatGPT-Driven Personalized VR Environments for Machine
   Learning Education","Gao, Hong and Xie, Yiyang and Kasneci, Enkelejda",INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,2025,"The advent of large language models (LLMs) such as ChatGPT has
   demonstrated significant potential for advancing educational
   technologies. Recently, growing interest has emerged in integrating
   ChatGPT with virtual reality (VR) to provide interactive and dynamic
   learning environments. This study explores the effectiveness of
   ChatGTP-driven VR in facilitating machine learning education through
   PerVRML. PerVRML incorporates a ChatGPT-powered avatar that provides
   real-time assistance and uses LLMs to personalize learning paths based
   on various sensor data from VR. A between-subjects design was employed
   to compare two learning modes: personalized and non-personalized.
   Quantitative data were collected from assessments, user experience
   surveys, and interaction metrics. The results indicate that while both
   learning modes supported learning effectively, ChatGPT-powered
   personalization significantly improved learning outcomes and had
   distinct impacts on user feedback. These findings underscore the
   potential of ChatGPT-enhanced VR to deliver adaptive and personalized
   educational experiences.",10.1080/10447318.2025.2504188,
"Not the Silver Bullet: LLM-enhanced Programming Error Messages are
   Ineffective in Practice","Santos, Eddie Antonio and Becker, Brett A.","PROCEEDINGS OF THE 2024 CONFERENCE ON UNITED KINGDOM \& IRELAND
   COMPUTING EDUCATION RESEARCH, UKICER 2024",2024,"The sudden emergence of large language models (LLMs) such as ChatGPT has
   had a disruptive impact throughout the computing education community.
   LLMs have been shown to excel at producing correct code to CS1 and CS2
   problems, and can even act as friendly assistants to students learning
   how to code. Recent work shows that LLMs demonstrate unequivocally
   superior results in being able to explain and resolve compiler error
   messages-for decades, one of the most frustrating parts of learning how
   to code. However, LLM-generated error message explanations have only
   been assessed by expert programmers in artificial conditions. This work
   sought to understand how novice programmers resolve programming error
   messages (PEMs) in a more realistic scenario. We ran a within-subjects
   study with n = 106 participants in which students were tasked to fix six
   buggy C programs. For each program, participants were randomly assigned
   to fix the problem using either a stock compiler error message, an
   expert-handwritten error message, or an error message explanation
   generated by GPT-4. Despite promising evidence on synthetic benchmarks,
   we found that GPT-4 generated error messages outperformed conventional
   compiler error messages in only 1 of the 6 tasks, measured by students'
   time-to-fix each problem. Handwritten explanations still outperform LLM
   and conventional error messages, both on objective and subjective
   measures.",10.1145/3689535.3689554,
